LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1707823628.734784,32348.000,2395,1,SF,1,100,0.0000
1707823629.002942,32608.000,2444,1,SF,1,100,0.0000
1707823629.335046,32930.000,2495,1,SF,1,100,0.0000
1707823629.734190,33317.000,2545,1,SF,1,100,0.0000
1707823630.068356,33641.000,2594,1,SF,1,100,0.0000
1707823630.399429,33962.000,2645,1,SF,1,100,0.0000
1707823630.663462,34218.000,2700,1,SF,1,100,0.0000
1707823630.996597,34541.000,2749,1,SF,1,100,0.0000
1707823631.325607,34860.000,2799,1,SF,1,100,0.0000
1707823631.724750,35247.000,2865,1,SF,1,100,0.0000
1707823632.056854,35569.000,2917,1,SF,1,100,0.0000
1707823632.322949,35827.000,2965,1,SF,1,100,0.0000
1707823632.655053,36149.000,3016,1,SF,1,100,0.0000
1707823632.989220,36473.000,3066,1,SF,1,100,0.0000
1707823633.321324,36795.000,3115,1,SF,1,100,0.0000
1707823633.720467,37182.000,3184,1,SF,1,100,0.0000
1707823633.988626,37442.000,3234,1,SF,1,100,0.0000
1707823634.320730,37764.000,3283,1,SF,1,100,0.0000
1707823634.650771,38084.000,3333,1,SF,1,100,0.0000
1707823634.983906,38407.000,3384,1,SF,1,100,0.0000
1707823635.385112,38796.000,3449,1,SF,1,100,0.0000
1707823635.716185,39117.000,3499,1,SF,1,100,0.0000
1707823635.981249,39374.000,3537,1,SF,1,100,0.0000
1707823636.313353,39696.000,3585,1,SF,1,100,0.0000
1707823636.643394,40016.000,3636,1,SF,1,100,0.0000
1707823637.040475,40401.000,3702,1,SF,1,100,0.0000
1707823637.376704,40727.000,3753,1,SF,1,100,0.0000
1707823637.640737,40983.000,3802,1,SF,1,100,0.0000
1707823637.975935,41308.000,3852,1,SF,1,100,0.0000
1707823638.305976,41628.000,3903,1,SF,1,100,0.0000
1707823638.709245,42019.000,3970,1,SF,1,100,0.0000
1707823639.039286,42339.000,4020,1,SF,1,100,0.0000
1707823639.308476,42600.000,4071,1,SF,1,100,0.0000
1707823639.642642,42924.000,4119,1,SF,1,100,0.0000
