LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1707823790.136231,188839,27462,1,BI,1,100,920
1707823791.066534,189741,27612,1,BI,1,100,920
1707823791.944237,190592,27744,1,BI,1,100,880
1707823792.868352,191488,27893,1,BI,1,100,920
1707823793.703769,192298,28028,1,BI,1,100,840
1707823794.546405,193115,28167,1,BI,1,100,840
1707823795.441641,193983,28300,1,BI,1,100,880
1707823796.238897,194756,28432,1,BI,1,100,800
1707823797.117631,195608,28565,1,BI,1,100,880
1707823797.917981,196384,28699,1,BI,1,100,800
1707823798.720393,197162,28834,1,BI,1,100,800
1707823799.478457,197897,28950,1,BI,1,100,760
1707823800.367505,198759,29104,1,BI,1,100,880
1707823801.208078,199574,29221,1,BI,1,100,840
1707823802.052777,200393,29356,1,BI,1,100,840
1707823802.968641,201281,29504,1,BI,1,100,920
1707823803.808183,202095,29639,1,BI,1,100,840
1707823804.765303,203023,29789,1,BI,1,100,960
1707823805.654351,203885,29943,1,BI,1,100,880
1707823806.579497,204782,30075,1,BI,1,100,920
1707823807.419039,205596,30210,1,BI,1,100,840
1707823808.340060,206489,30359,1,BI,1,100,920
1707823809.260050,207381,30510,1,BI,1,100,920
1707823810.146004,208240,30665,1,BI,1,100,880
1707823811.027833,209095,30798,1,BI,1,100,880
1707823811.946791,209986,30946,1,BI,1,100,920
1707823812.868843,210880,31096,1,BI,1,100,920
1707823813.790896,211774,31233,1,BI,1,100,920
1707823814.710885,212666,31382,1,BI,1,100,920
1707823815.686569,213612,31536,1,BI,1,100,960
1707823816.560147,214459,31685,1,BI,1,100,880
1707823817.481168,215352,31820,1,BI,1,100,920
1707823818.357839,216202,31954,1,BI,1,100,880
1707823819.242762,217060,32069,1,BI,1,100,880
1707823820.171003,217960,32219,1,BI,1,100,920
1707823821.053863,218816,32340,1,BI,1,100,880
1707823821.970758,219705,32458,1,BI,1,100,920
1707823822.892810,220599,32561,1,BI,1,100,920
1707823823.854055,221531,32712,1,BI,1,100,960
1707823824.742072,222392,32862,1,BI,1,100,880
1707823825.585740,223210,32994,1,BI,1,100,840
1707823826.423219,224022,33114,1,BI,1,100,840
1707823827.267918,224841,33248,1,BI,1,100,840
1707823828.065173,225614,33381,1,BI,1,100,800
1707823828.862429,226387,33515,1,BI,1,100,800
1707823829.714348,227213,33650,1,BI,1,100,840
1707823830.555952,228029,33782,1,BI,1,100,840
1707823831.395494,228843,33920,1,BI,1,100,840
1707823832.274229,229695,34037,1,BI,1,100,880
1707823833.114802,230510,34170,1,BI,1,100,840
1707823833.913089,231284,34304,1,BI,1,100,800
1707823834.807294,232151,34437,1,BI,1,100,880
1707823835.603519,232923,34571,1,BI,1,100,800
1707823836.402837,233698,34688,1,BI,1,100,800
1707823837.244442,234514,34825,1,BI,1,100,840
1707823838.124208,235367,34959,1,BI,1,100,880
1707823838.979220,236196,35094,1,BI,1,100,840
1707823839.857955,237048,35244,1,BI,1,100,880
1707823840.695434,237860,35377,1,BI,1,100,840
1707823841.658742,238794,35526,1,BI,1,100,960
1707823842.539539,239648,35664,1,BI,1,100,880
1707823843.420336,240502,35799,1,BI,1,100,880
1707823844.269160,241325,35931,1,BI,1,100,840
1707823845.152020,242181,36081,1,BI,1,100,880
1707823845.989500,242993,36214,1,BI,1,100,840
1707823846.789849,243769,36348,1,BI,1,100,800
1707823847.630423,244584,36470,1,BI,1,100,840
1707823848.508126,245435,36605,1,BI,1,100,880
1707823849.399237,246299,36755,1,BI,1,100,880
1707823850.283128,247156,36887,1,BI,1,100,880
1707823851.123702,247971,37022,1,BI,1,100,840
1707823852.003468,248824,37155,1,BI,1,100,880
1707823852.884265,249678,37277,1,BI,1,100,880
1707823853.737215,250505,37413,1,BI,1,100,840
1707823854.533439,251277,37530,1,BI,1,100,800
1707823855.375044,252093,37665,1,BI,1,100,840
1707823856.216649,252909,37782,1,BI,1,100,840
1707823857.047940,253715,37869,1,BI,1,100,840
1707823857.933894,254574,37975,1,BI,1,100,880
1707823858.828099,255441,38111,1,BI,1,100,880
1707823859.743963,256329,38260,1,BI,1,100,920
1707823860.664984,257222,38411,1,BI,1,100,920
1707823861.545781,258076,38543,1,BI,1,100,880
1707823862.504963,259006,38709,1,BI,1,100,960
1707823863.398137,259872,38832,1,BI,1,100,880
1707823864.317095,260763,38981,1,BI,1,100,920
1707823865.155606,261576,39114,1,BI,1,100,840
1707823866.077658,262470,39263,1,BI,1,100,920
1707823866.958455,263324,39395,1,BI,1,100,880
1707823867.846472,264185,39545,1,BI,1,100,880
1707823868.689108,265002,39669,1,BI,1,100,840
1707823869.603941,265889,39821,1,BI,1,100,920
1707823870.522899,266780,39970,1,BI,1,100,920
1707823871.401634,267632,40103,1,BI,1,100,880
1707823872.252521,268457,40252,1,BI,1,100,840
1707823873.171479,269348,40385,1,BI,1,100,920
1707823874.052276,270202,40525,1,BI,1,100,880
1707823874.969172,271091,40673,1,BI,1,100,920
1707823875.853063,271948,40806,1,BI,1,100,880
1707823876.706013,272775,40941,1,BI,1,100,840
1707823877.577528,273620,41090,1,BI,1,100,880
1707823878.422227,274439,41225,1,BI,1,100,840
1707823879.262800,275254,41347,1,BI,1,100,840
1707823880.102342,276068,41480,1,BI,1,100,840
1707823880.979014,276918,41630,1,BI,1,100,880
1707823881.831964,277745,41764,1,BI,1,100,840
1707823882.664286,278552,41897,1,BI,1,100,840
1707823883.464636,279328,42014,1,BI,1,100,800
1707823884.342339,280179,42171,1,BI,1,100,880
1707823885.183944,280995,42288,1,BI,1,100,840
1707823886.036894,281822,42421,1,BI,1,100,840
