LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1707823630.559292,34117.000,2679,2,AK,1,100,1874
1707823630.559292,34117.000,2679,2,AK,1,100,RD
1707823630.573732,34131.000,2682,2,AK,1,100,2680
1707823630.588171,34145.000,2682,2,AK,1,100,RD
1707823633.207357,36684.500,3518,2,AK,1,100,2680
1707823635.826542,39224.000,3518,2,AK,1,100,RD
1707823638.477700,41794.500,4354,2,AK,1,100,3519
1707823641.128859,44365.000,4354,2,AK,1,100,RD
1707823641.134531,44370.500,4356,2,AK,1,100,3519
1707823641.140204,44376.000,4356,2,AK,1,100,RD
1707823641.158253,44393.500,4359,2,AK,1,100,4357
1707823641.176302,44411.000,4359,2,AK,1,100,RD
1707823643.785690,46941.000,5135,2,AK,1,100,4357
1707823646.395077,49471.000,5135,2,AK,1,100,RD
1707823646.440974,49515.500,5138,2,AK,1,100,5136
1707823646.486870,49560.000,5138,2,AK,1,100,RD
1707823649.075630,52070.000,5898,2,AK,1,100,5136
1707823651.664390,54580.000,5898,2,AK,1,100,RD
1707823651.688627,54603.500,5901,2,AK,1,100,5899
1707823651.712865,54627.000,5901,2,AK,1,100,RD
1707823654.321221,57156.000,6737,2,AK,1,100,5899
1707823656.929577,59685.000,6737,2,AK,1,100,RD
1707823656.940922,59696.000,6740,2,AK,1,100,6738
1707823656.952267,59707.000,6740,2,AK,1,100,RD
1707823659.595174,62269.500,7592,2,AK,1,100,6738
1707823662.238082,64832.000,7592,2,AK,1,100,RD
1707823664.888724,67402.000,8428,2,AK,1,100,7593
1707823667.539367,69972.000,8428,2,AK,1,100,RD
1707823667.549681,69982.000,8430,2,AK,1,100,7593
1707823667.559995,69992.000,8430,2,AK,1,100,RD
1707823667.579591,70011.000,8433,2,AK,1,100,8431
1707823667.599187,70030.000,8433,2,AK,1,100,RD
1707823670.196198,72548.000,9269,2,AK,1,100,8431
1707823672.793209,75066.000,9269,2,AK,1,100,RD
1707823672.818993,75091.000,9272,2,AK,1,100,9270
1707823672.844778,75116.000,9272,2,AK,1,100,RD
1707823675.502640,77693.000,10108,2,AK,1,100,9270
1707823678.160502,80270.000,10108,2,AK,1,100,RD
1707823678.199695,80308.000,10111,2,AK,1,100,10109
1707823678.238887,80346.000,10111,2,AK,1,100,RD
1707823680.877669,82904.500,10859,2,AK,1,100,10109
1707823683.516451,85463.000,10859,2,AK,1,100,RD
1707823683.530890,85477.000,10862,2,AK,1,100,10860
1707823683.545329,85491.000,10862,2,AK,1,100,RD
1707823686.187205,88052.500,11717,2,AK,1,100,10860
1707823688.829081,90614.000,11717,2,AK,1,100,RD
1707823691.466316,93171.000,12553,2,AK,1,100,11718
1707823694.103551,95728.000,12553,2,AK,1,100,RD
1707823694.117990,95742.000,12556,2,AK,1,100,12554
1707823694.132429,95756.000,12556,2,AK,1,100,RD
1707823696.757287,98301.000,13396,2,AK,1,100,12554
1707823699.382146,100846.000,13396,2,AK,1,100,RD
1707823699.406899,100870.000,13399,2,AK,1,100,13397
1707823699.431652,100894.000,13399,2,AK,1,100,RD
1707823702.036398,103419.500,14234,2,AK,1,100,13397
1707823704.641144,105945.000,14234,2,AK,1,100,RD
1707823704.658162,105961.500,14237,2,AK,1,100,14235
1707823704.675180,105978.000,14237,2,AK,1,100,RD
1707823707.293850,108517.000,15073,2,AK,1,100,14235
1707823709.912520,111056.000,15073,2,AK,1,100,RD
1707823709.927990,111071.000,15076,2,AK,1,100,15074
1707823709.943461,111086.000,15076,2,AK,1,100,RD
1707823712.563678,113626.500,15880,2,AK,1,100,15074
1707823715.183895,116167.000,15880,2,AK,1,100,RD
1707823717.820614,118723.500,16608,2,AK,1,100,15881
1707823720.457333,121280.000,16608,2,AK,1,100,RD
