RD,TS_received,TS_sent,AK,RoundTrip,
34117,34142,2024-02-13_11-27-10-577249,34145,25,
39225,44350,2024-02-13_11-27-15-938232,44365,5125,
44376,44408,2024-02-13_11-27-21-181514,44411,32,
49472,49557,2024-02-13_11-27-26-480523,49560,85,
54580,54623,2024-02-13_11-27-31-696710,54627,43,
59685,59704,2024-02-13_11-27-36-939673,59707,19,
64833,69958,2024-02-13_11-27-42-249647,69972,5125,
69992,70024,2024-02-13_11-27-47-575679,70030,32,
75066,75112,2024-02-13_11-27-52-828322,75116,46,
80270,80343,2024-02-13_11-27-58-224986,80346,73,
85463,85489,2024-02-13_11-28-03-535043,85491,26,
90614,95725,2024-02-13_11-28-09-008007,95728,5111,
95729,95753,2024-02-13_11-28-14-141672,95756,24,
100847,100891,2024-02-13_11-28-19-452440,100894,44,
105945,105976,2024-02-13_11-28-24-702328,105978,31,
111056,111084,2024-02-13_11-28-29-974450,111086,28,
116168,121271,2024-02-13_11-28-35-401212,121280,5103,
121291,121386,2024-02-13_11-28-40-612044,121389,95,
126414,126447,2024-02-13_11-28-45-841719,126450,33,
131513,131532,2024-02-13_11-28-51-095435,131535,19,
136650,136669,2024-02-13_11-28-56-401499,136673,19,
141761,141817,2024-02-13_11-29-01-714833,141820,56,
146863,146885,2024-02-13_11-29-06-948265,146888,22,
151979,157076,2024-02-13_11-29-12-335897,157085,5097,
157100,157197,2024-02-13_11-29-17-585855,157199,97,
162221,162260,2024-02-13_11-29-22-820952,162265,39,
167320,167344,2024-02-13_11-29-28-063392,167347,24,
172491,172530,2024-02-13_11-29-33-405004,172533,39,
177598,177649,2024-02-13_11-29-38-682836,177651,51,
182715,182806,2024-02-13_11-29-43-990623,182809,91,
187852,187883,2024-02-13_11-29-49-229715,187887,31,
192961,192981,2024-02-13_11-29-54-483751,192984,20,
198109,198142,2024-02-13_11-29-59-797040,198146,33,
203224,203251,2024-02-13_11-30-05-060341,203253,27,
208334,208352,2024-02-13_11-30-10-321440,208355,18,
213493,213525,2024-02-13_11-30-15-644838,213528,32,
218637,223739,2024-02-13_11-30-21-079015,223745,5102,
223745,228888,2024-02-13_11-30-26-256832,228902,5143,
228922,233989,2024-02-13_11-30-31-711990,233991,5067,
233992,234021,2024-02-13_11-30-36-752961,234024,29,
239102,239128,2024-02-13_11-30-42-010714,239132,26,
244243,244271,2024-02-13_11-30-47-306306,244273,28,
249402,249423,2024-02-13_11-30-52-616667,249425,21,
254540,254559,2024-02-13_11-30-57-908923,254562,19,
259669,259748,2024-02-13_11-31-03-258085,259751,79,
264809,264846,2024-02-13_11-31-08-502858,264849,37,
269928,275062,2024-02-13_11-31-13-773727,275070,5134,
275082,280200,2024-02-13_11-31-19-207407,280214,5118,
280227,280314,2024-02-13_11-31-24-455015,280317,87,
285335,290455,2024-02-13_11-31-29-793499,290460,5120,
290460,295596,2024-02-13_11-31-35-003308,295604,5136,
295618,300749,2024-02-13_11-31-40-327489,300758,5131,
300770,300796,2024-02-13_11-31-45-577923,300799,26,
