index,TypeTag,binstart,binend,LocalTimestamp,HR
0,HR,0.0,7.993000930975715,1707823628.74716,69.56150254961914
1,HR,0.9903718299957394,8.993376516829997,1707823629.737532,68.64374627690917
2,HR,1.9907474158500216,9.99375210268428,1707823630.7379074,68.4479010664187
3,HR,2.991123001704304,10.994127688538562,1707823631.738283,69.03881819792736
4,HR,3.9914985875585858,11.994503274392844,1707823632.7386584,69.33811943288946
5,HR,4.991874173412868,12.994878860247125,1707823633.7390342,71.49632579934364
6,HR,5.992249759267151,13.995254446101407,1707823634.7394097,70.37773921578155
7,HR,6.992625345121432,14.99563003195569,1707823635.7397852,70.19470218271059
8,HR,7.993000930975715,15.996005617809972,1707823636.740161,72.08830926616511
9,HR,8.993376516829997,16.996381203664253,1707823637.7405365,70.87441454587814
10,HR,9.99375210268428,17.996756789518535,1707823638.740912,70.04668415702118
11,HR,10.994127688538562,18.997132375372818,1707823639.7412877,71.97296797133926
12,HR,11.994503274392844,19.9975079612271,1707823640.7416632,70.46961615992748
13,HR,12.994878860247125,20.997883547081383,1707823641.7420387,69.29361486329196
14,HR,13.995254446101407,21.998259132935665,1707823642.7424145,69.03881819792734
15,HR,14.99563003195569,22.998634718789948,1707823643.74279,68.54568378222787
16,HR,15.996005617809972,23.99901030464423,1707823644.7431655,67.86701364577016
17,HR,16.996381203664253,24.999385890498512,1707823645.7435412,67.01393665860266
18,HR,17.996756789518535,25.999761476352795,1707823646.7439167,66.18203951387518
19,HR,18.997132375372818,26.990133306348532,1707823647.7442923,65.63882167928797
20,HR,19.9975079612271,27.990508892202815,1707823648.744668,64.99107014955815
21,HR,20.997883547081383,28.990884478057097,1707823649.7450435,67.39041944881953
22,HR,21.998259132935665,29.99126006391138,1707823650.745419,66.54920755556104
23,HR,22.998634718789948,30.991635649765662,1707823651.7457948,66.36511569510306
24,HR,23.99901030464423,31.992011235619945,1707823652.7461703,67.10766244413917
25,HR,24.999385890498512,32.99238682147423,1707823653.7465458,67.67556931954796
26,HR,25.999761476352795,33.992762407328506,1707823654.7469215,68.25317019567498
27,HR,26.990133306348532,34.99313799318279,1707823655.7372932,68.54568378222787
28,HR,27.990508892202815,35.99351357903707,1707823656.7376688,68.25317019567498
29,HR,28.990884478057097,36.99388916489136,1707823657.7380445,69.38268120630391
30,HR,29.99126006391138,37.994264750745636,1707823658.73842,68.15621966982884
31,HR,30.991635649765662,38.99464033659992,1707823659.7387955,67.39041944881953
32,HR,31.992011235619945,39.9950159224542,1707823660.7391713,67.20165076689007
33,HR,32.99238682147423,40.99539150830849,1707823661.7395468,67.01393665860266
34,HR,33.992762407328506,41.995767094162765,1707823662.7399223,67.39041944881953
35,HR,34.99313799318279,42.99614268001705,1707823663.740298,67.77115628186371
36,HR,35.99351357903707,43.99651826587133,1707823664.7406735,68.35039693384546
37,HR,36.99388916489136,44.996893851725616,1707823665.741049,69.47197680631203
38,HR,37.994264750745636,45.997269437579895,1707823666.7414248,68.25317019567498
39,HR,38.99464033659992,46.99764502343418,1707823667.7418003,68.25317019567497
40,HR,39.9950159224542,47.99802060928846,1707823668.7421758,68.25317019567498
41,HR,40.99539150830849,48.99839619514274,1707823669.7425516,67.86701364577016
42,HR,41.995767094162765,49.998771780997025,1707823670.742927,67.96314256028258
43,HR,42.99614268001705,50.999147366851304,1707823671.7433026,67.7711562818637
44,HR,43.99651826587133,51.99952295270559,1707823672.7436783,67.580251616281
45,HR,44.996893851725616,52.99989853855987,1707823673.7440538,68.35039693384545
46,HR,45.997269437579895,53.99027036855561,1707823674.7444293,67.29590273150001
47,HR,46.99764502343418,54.99064595440989,1707823675.744805,66.64163701049932
48,HR,47.99802060928846,55.99102154026418,1707823676.7451806,66.54920755556104
49,HR,48.99839619514274,56.99139712611846,1707823677.745556,66.45703413789406
50,HR,49.998771780997025,57.991772711972736,1707823678.7459316,66.64163701049932
51,HR,50.999147366851304,58.99214829782702,1707823679.7463074,66.64163701049932
52,HR,51.99952295270559,59.9925238836813,1707823680.746683,66.64163701049932
53,HR,52.99989853855987,60.99289946953559,1707823681.7470584,68.93962449361997
54,HR,53.99027036855561,61.993275055389866,1707823682.7374303,68.05954418093548
55,HR,54.99064595440989,62.99365064124415,1707823683.7378058,68.15621966982884
56,HR,55.99102154026418,63.99402622709843,1707823684.7381816,68.41536879404872
57,HR,56.99139712611846,64.99440181295272,1707823685.738557,70.25179889833018
58,HR,57.991772711972736,65.994777398807,1707823686.7389326,73.04428413870697
59,HR,58.99214829782702,66.99515298466127,1707823687.7393084,75.28553135077328
60,HR,59.9925238836813,67.99552857051556,1707823688.7396839,68.74208975295058
61,HR,60.99289946953559,68.99590415636985,1707823689.7400594,68.74208975295058
62,HR,61.993275055389866,69.99627974222413,1707823690.7404351,68.74208975295058
63,HR,62.99365064124415,70.9966553280784,1707823691.7408106,68.74208975295058
64,HR,63.99402622709843,71.99703091393269,1707823692.7411861,68.74208975295058
65,HR,64.99440181295272,72.99740649978698,1707823693.741562,75.60185711275132
66,HR,65.994777398807,73.99778208564125,1707823694.7419374,73.34201899253323
67,HR,66.99515298466127,74.99815767149553,1707823695.742313,70.37773921578155
68,HR,67.99552857051556,75.99853325734982,1707823696.7426884,67.20165076689007
69,HR,68.99590415636985,76.9989088432041,1707823697.7430642,66.64163701049932
70,HR,69.99627974222413,77.99928442905838,1707823698.7434397,66.54920755556104
71,HR,70.9966553280784,78.99966001491266,1707823699.7438152,66.45703413789406
72,HR,71.99703091393269,79.9900318449084,1707823700.744191,66.09087967983403
