LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1707823628.734784,32348.000,2407,9,GY,1,100,-0.183
1707823628.734784,32348.000,2407,9,GY,1,100,-0.122
1707823628.734784,32348.000,2407,9,GY,1,100,-0.122
1707823628.734784,32348.000,2407,9,GY,1,100,-0.275
1707823628.734784,32348.000,2407,9,GY,1,100,-0.214
1707823628.734784,32348.000,2407,9,GY,1,100,-0.092
1707823628.734784,32348.000,2407,9,GY,1,100,-0.244
1707823628.734784,32348.000,2407,9,GY,1,100,-0.305
1707823628.734784,32348.000,2407,9,GY,1,100,-0.122
1707823628.775523,32387.500,2422,2,GY,1,100,-0.305
1707823628.816263,32427.000,2422,2,GY,1,100,-0.519
1707823628.856143,32465.667,2438,3,GY,1,100,-0.336
1707823628.896023,32504.333,2438,3,GY,1,100,-0.061
1707823628.935903,32543.000,2438,3,GY,1,100,-0.214
1707823628.975783,32581.667,2456,3,GY,1,100,-0.488
1707823629.015663,32620.333,2456,3,GY,1,100,-0.305
1707823629.055543,32659.000,2456,3,GY,1,100,-0.214
1707823629.095251,32697.500,2472,2,GY,1,100,-0.183
1707823629.134959,32736.000,2472,2,GY,1,100,-0.305
1707823629.174839,32774.667,2488,3,GY,1,100,-0.275
1707823629.214719,32813.333,2488,3,GY,1,100,-0.183
1707823629.254599,32852.000,2488,3,GY,1,100,-0.275
1707823629.295166,32891.333,2506,3,GY,1,100,-0.397
1707823629.335734,32930.667,2506,3,GY,1,100,-0.275
1707823629.376301,32970.000,2506,3,GY,1,100,-0.183
1707823629.416525,33009.000,2523,2,GY,1,100,-0.427
1707823629.456749,33048.000,2523,2,GY,1,100,-0.458
1707823629.496766,33086.800,2539,5,GY,1,100,-0.641
1707823629.536784,33125.600,2539,5,GY,1,100,-0.366
1707823629.576801,33164.400,2539,5,GY,1,100,-0.122
1707823629.616819,33203.200,2539,5,GY,1,100,-0.122
1707823629.656836,33242.000,2539,5,GY,1,100,-0.183
1707823629.695513,33279.500,2556,2,GY,1,100,-0.214
1707823629.734190,33317.000,2556,2,GY,1,100,-0.458
1707823629.769944,33351.667,2572,3,GY,1,100,-0.336
1707823629.805698,33386.333,2572,3,GY,1,100,-0.122
1707823629.841453,33421.000,2572,3,GY,1,100,-0.244
1707823629.881333,33459.667,2589,3,GY,1,100,-0.366
1707823629.921213,33498.333,2589,3,GY,1,100,-0.183
1707823629.961093,33537.000,2589,3,GY,1,100,-0.458
1707823630.000629,33575.333,2606,3,GY,1,100,-0.580
1707823630.040165,33613.667,2606,3,GY,1,100,-0.305
1707823630.079701,33652.000,2606,3,GY,1,100,-0.244
1707823630.119925,33691.000,2621,2,GY,1,100,-0.305
1707823630.160149,33730.000,2621,2,GY,1,100,-0.610
1707823630.200029,33768.667,2639,3,GY,1,100,-0.549
1707823630.239909,33807.333,2639,3,GY,1,100,-0.488
1707823630.279789,33846.000,2639,3,GY,1,100,-0.641
1707823630.319669,33884.667,2657,3,GY,1,100,-1.038
1707823630.359549,33923.333,2657,3,GY,1,100,-2.075
1707823630.399429,33962.000,2657,3,GY,1,100,-0.397
1707823630.439137,34000.500,2673,2,GY,1,100,0.336
1707823630.478845,34039.000,2673,2,GY,1,100,-0.244
1707823630.518381,34077.333,2695,3,GY,1,100,-0.458
1707823630.557917,34115.667,2695,3,GY,1,100,-0.366
1707823630.597453,34154.000,2695,3,GY,1,100,-0.275
1707823630.637161,34192.500,2710,2,GY,1,100,-0.580
1707823630.676869,34231.000,2710,2,GY,1,100,-0.244
1707823630.716749,34269.667,2727,3,GY,1,100,-0.092
1707823630.756629,34308.333,2727,3,GY,1,100,-0.336
1707823630.796509,34347.000,2727,3,GY,1,100,-0.336
1707823630.836389,34385.667,2743,3,GY,1,100,0.092
1707823630.876269,34424.333,2743,3,GY,1,100,-0.153
1707823630.916149,34463.000,2743,3,GY,1,100,-0.336
1707823630.956029,34501.667,2761,3,GY,1,100,-0.122
1707823630.995909,34540.333,2761,3,GY,1,100,0.000
1707823631.035789,34579.000,2761,3,GY,1,100,-0.244
1707823631.075497,34617.500,2779,2,GY,1,100,-0.183
1707823631.115205,34656.000,2779,2,GY,1,100,-0.031
1707823631.154741,34694.333,2794,3,GY,1,100,-0.031
1707823631.194278,34732.667,2794,3,GY,1,100,-0.366
1707823631.233814,34771.000,2794,3,GY,1,100,-0.122
1707823631.273522,34809.500,2811,2,GY,1,100,0.122
1707823631.313230,34848.000,2811,2,GY,1,100,-0.153
1707823631.353110,34886.667,2828,3,GY,1,100,-0.214
1707823631.392990,34925.333,2828,3,GY,1,100,-0.183
1707823631.432870,34964.000,2828,3,GY,1,100,-0.275
1707823631.472750,35002.667,2844,3,GY,1,100,-0.122
1707823631.512630,35041.333,2844,3,GY,1,100,0.031
1707823631.552510,35080.000,2844,3,GY,1,100,0.153
1707823631.592734,35119.000,2860,2,GY,1,100,0.366
1707823631.632957,35158.000,2860,2,GY,1,100,-0.122
1707823631.672493,35196.333,2876,3,GY,1,100,-0.397
1707823631.712030,35234.667,2876,3,GY,1,100,-0.427
1707823631.751566,35273.000,2876,3,GY,1,100,-0.153
1707823631.790758,35311.000,2893,2,GY,1,100,-0.153
1707823631.829951,35349.000,2893,2,GY,1,100,-0.214
1707823631.869831,35387.667,2911,3,GY,1,100,0.122
1707823631.909711,35426.333,2911,3,GY,1,100,1.373
1707823631.949590,35465.000,2911,3,GY,1,100,0.122
1707823631.989470,35503.667,2929,3,GY,1,100,-1.099
1707823632.029350,35542.333,2929,3,GY,1,100,-1.007
1707823632.069230,35581.000,2929,3,GY,1,100,0.153
1707823632.104985,35615.667,2943,3,GY,1,100,0.061
1707823632.140739,35650.333,2943,3,GY,1,100,-0.275
1707823632.176494,35685.000,2943,3,GY,1,100,0.488
1707823632.216202,35723.500,2960,2,GY,1,100,0.641
1707823632.255910,35762.000,2960,2,GY,1,100,-0.885
1707823632.295790,35800.667,2977,3,GY,1,100,-0.854
1707823632.335670,35839.333,2977,3,GY,1,100,0.153
1707823632.375550,35878.000,2977,3,GY,1,100,-0.153
1707823632.415258,35916.500,2994,2,GY,1,100,-0.488
