LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1707823632.976328,36460.500,3083,4,EM,1,100,RB
1707823633.028155,36510.750,3083,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823633.079981,36561.000,3083,4,EM,1,100,PS
1707823633.131808,36611.250,3114,4,EM,1,100,RS
1707823633.183635,36661.500,3114,4,EM,1,100,RB
1707823633.235462,36711.750,3114,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823633.287288,36762.000,3114,4,EM,1,100,PS
1707823633.339115,36812.250,3148,4,EM,1,100,RS
1707823633.390942,36862.500,3148,4,EM,1,100,RB
1707823633.442769,36912.750,3148,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823633.494595,36963.000,3148,4,EM,1,100,PS
1707823633.546422,37013.250,3181,4,EM,1,100,RS
1707823633.598249,37063.500,3181,4,EM,1,100,RB
1707823633.650076,37113.750,3181,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823633.701902,37164.000,3181,4,EM,1,100,PS
1707823633.753729,37214.250,3217,4,EM,1,100,RS
1707823633.805556,37264.500,3217,4,EM,1,100,RB
1707823633.857383,37314.750,3217,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823633.909210,37365.000,3217,4,EM,1,100,PS
1707823633.961036,37415.250,3250,4,EM,1,100,RS
1707823634.012863,37465.500,3250,4,EM,1,100,RB
1707823634.064690,37515.750,3250,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823634.116517,37566.000,3250,4,EM,1,100,PS
1707823634.168343,37616.250,3282,4,EM,1,100,RS
1707823634.220170,37666.500,3282,4,EM,1,100,RB
1707823634.271997,37716.750,3282,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823634.323824,37767.000,3282,4,EM,1,100,PS
1707823634.375650,37817.250,3316,4,EM,1,100,RS
1707823634.427477,37867.500,3316,4,EM,1,100,RB
1707823634.479304,37917.750,3316,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823634.531131,37968.000,3316,4,EM,1,100,PS
1707823634.583215,38018.500,3350,4,EM,1,100,RS
1707823634.635300,38069.000,3350,4,EM,1,100,RB
1707823634.687385,38119.500,3350,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823634.739469,38170.000,3350,4,EM,1,100,PS
1707823634.791554,38220.500,3383,4,EM,1,100,RS
1707823634.843638,38271.000,3383,4,EM,1,100,RB
1707823634.895723,38321.500,3383,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823634.947808,38372.000,3383,4,EM,1,100,PS
1707823634.999634,38422.250,3415,4,EM,1,100,RS
1707823635.051461,38472.500,3415,4,EM,1,100,RB
1707823635.103288,38522.750,3415,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823635.155115,38573.000,3415,4,EM,1,100,PS
1707823635.206942,38623.250,3448,4,EM,1,100,RS
