LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1707823628.640928,32257.000,2392,1,B%,1,100, 1
1707823633.621455,37086.000,3180,1,B%,1,100, 4
1707823638.609201,41922.000,3968,1,B%,1,100, 2
1707823643.597979,46759.000,4763,1,B%,1,100, 1
1707823648.598102,51607.000,5430,1,B%,1,100, 2
1707823653.594099,56451.000,6218,1,B%,1,100, 2
1707823658.589065,61294.000,7024,1,B%,1,100, 2
1707823663.584031,66137.000,7813,1,B%,1,100, 1
1707823668.577965,70979.000,8618,1,B%,1,100, 3
1707823673.568806,75818.000,9406,1,B%,1,100, 2
1707823678.555520,80653.000,10180,1,B%,1,100, 2
1707823683.541204,85487.000,10881,1,B%,1,100, 2
1707823688.527919,90322.000,11680,1,B%,1,100, 2
1707823693.512571,95155.000,12469,1,B%,1,100, 1
1707823698.493097,99984.000,13276,1,B%,1,100, 2
1707823703.476718,104816.000,14064,1,B%,1,100, 1
1707823708.462402,109650.000,14854,1,B%,1,100, 1
1707823713.446022,114482.000,15643,1,B%,1,100, 1
1707823718.427580,119312.000,16307,1,B%,1,100, 1
1707823723.413264,124146.000,17100,1,B%,1,100, 1
1707823728.395853,128977.000,17886,1,B%,1,100, 1
1707823733.377411,133807.000,18693,1,B%,1,100, 5
1707823738.364126,138642.000,19495,1,B%,1,100, 1
1707823743.354966,143481.000,20287,1,B%,1,100, 2
1707823748.334462,148309.000,21058,1,B%,1,100, 1
1707823753.327365,153150.000,21771,1,B%,1,100, 1
1707823758.321299,157992.000,22498,1,B%,1,100, 2
1707823763.304920,162824.000,23305,1,B%,1,100, 2
1707823768.297823,167665.000,24107,1,B%,1,100, 2
1707823773.293820,172509.000,24899,1,B%,1,100, 1
1707823778.282598,177346.000,25699,1,B%,1,100, 1
1707823783.281689,182193.000,26488,1,B%,1,100, 1
1707823788.281812,187041.000,27238,1,B%,1,100, 1
1707823793.271621,191879.000,27978,1,B%,1,100, 1
1707823798.272775,196728.000,28767,1,B%,1,100, 3
1707823803.268772,201572.000,29573,1,B%,1,100, 1
1707823808.266833,206418.000,30378,1,B%,1,100, 1
1707823813.262830,211262.000,31164,1,B%,1,100, 1
1707823818.261921,216109.000,31952,1,B%,1,100, 1
1707823823.261013,220956.000,32646,1,B%,1,100, 4
1707823828.259073,225802.000,33432,1,B%,1,100, 3
1707823833.255070,230646.000,34204,1,B%,1,100, 1
1707823838.254161,235493.000,34995,1,B%,1,100, 0
1707823843.252221,240339.000,35798,1,B%,1,100, 1
1707823848.250281,245185.000,36587,1,B%,1,100, 1
1707823853.250404,250033.000,37345,1,B%,1,100, 1
1707823858.247433,254878.000,38043,1,B%,1,100, 1
1707823863.242399,259721.000,38831,1,B%,1,100, 0
1707823868.240459,264567.000,39630,1,B%,1,100, 3
1707823873.233362,269408.000,40421,1,B%,1,100, 1
1707823878.225234,274248.000,41207,1,B%,1,100, 3
1707823883.220199,279091.000,41998,1,B%,1,100, 3
1707823888.214134,283933.000,42758,1,B%,1,100, 1
1707823893.203943,288771.000,43450,1,B%,1,100, 2
1707823898.194783,293610.000,44256,1,B%,1,100, 1
1707823903.187686,298451.000,45032,1,B%,1,100, 0
1707823908.170276,303282.000,45808,1,B%,1,100, 1
