Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Qitem,leftopt,rightopt,stim,ANSWER,introtext,prestext,intro_text,Home,Status,Away,Checker,intro_stim,category,item,condition,duration,list,order,post_text,snippet,type
31,1707823887433,13/02/2024 11:31:27,1707823887037,0,13/02/2024 11:31:27,123845,3,task-3v6u,,35086402,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,AV block multiple stim types,94,testing,,,END TASK,,,,,207384,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1707823994989,13/02/2024 11:33:14,1707823994934,0,13/02/2024 11:33:14,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1707823998073,13/02/2024 11:33:18,1707823998026,0,13/02/2024 11:33:18,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,1,1,1,prep,advancementZone,continue_button,1835.6000000014901,,,,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
3,1707824056789,13/02/2024 11:34:16,1707824056763,0,13/02/2024 11:34:16,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,1,1,2,stimuli,Zone1,content_video,58733.29999999702,,,,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
4,1707824061443,13/02/2024 11:34:21,1707824061405,0,13/02/2024 11:34:21,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,1,1,3,familiarity,showfam,response_slider_firstInteraction,4637.039999999994,,,75,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
5,1707824062366,13/02/2024 11:34:22,1707824062348,0,13/02/2024 11:34:22,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,1,1,3,familiarity,scenefam,response_slider_firstInteraction,5587.800000000003,,,1,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
6,1707824063495,13/02/2024 11:34:23,1707824063465,0,13/02/2024 11:34:23,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,1,1,3,familiarity,showfam,response_slider_endValue,6696.4000000059605,,,75,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
7,1707824063550,13/02/2024 11:34:23,1707824063466,0,13/02/2024 11:34:23,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,1,1,3,familiarity,scenefam,response_slider_endValue,6696.4000000059605,,,1,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
8,1707824063550,13/02/2024 11:34:23,1707824063466,0,13/02/2024 11:34:23,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,1,1,3,familiarity,continue_button,continue_button,6696.4000000059605,,,,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
9,1707824065396,13/02/2024 11:34:25,1707824065384,0,13/02/2024 11:34:25,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,1,1,4,likeability,like,response_slider_firstInteraction,1918.199999999997,,,69,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
10,1707824066708,13/02/2024 11:34:26,1707824066705,0,13/02/2024 11:34:26,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,1,1,4,likeability,emotion,response_slider_firstInteraction,3236.175000000003,,,67,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
11,1707824068507,13/02/2024 11:34:28,1707824068452,0,13/02/2024 11:34:28,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,1,1,4,likeability,shop,response_slider_firstInteraction,4987.574999999997,,,52,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
12,1707824069111,13/02/2024 11:34:29,1707824069085,0,13/02/2024 11:34:29,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,1,1,4,likeability,emotion,response_slider_endValue,5615.4000000059605,,,67,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
13,1707824069165,13/02/2024 11:34:29,1707824069085,0,13/02/2024 11:34:29,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,1,1,4,likeability,shop,response_slider_endValue,5615.4000000059605,,,52,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
14,1707824069165,13/02/2024 11:34:29,1707824069085,0,13/02/2024 11:34:29,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,1,1,4,likeability,like,response_slider_endValue,5615.4000000059605,,,69,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
15,1707824069165,13/02/2024 11:34:29,1707824069085,0,13/02/2024 11:34:29,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,1,1,4,likeability,continue_button,continue_button,5615.4000000059605,,,,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
16,1707824070719,13/02/2024 11:34:30,1707824070707,0,13/02/2024 11:34:30,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,2,1,1,prep,button,continue_button,1620.1000000014901,,,,,0,1,0,,,,,1,cluster_pres,,,,pizza.mp4,,,,,,,,,pizza_man.mp4,cluster,pizza,man,115,a,9,,,
17,1707824092233,13/02/2024 11:34:52,1707824092215,0,13/02/2024 11:34:52,123845,3,task-3v6u,,35086898,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,AV block multiple stim types,94,testing,testing,2,1,2,prime,Zone1,content_video,21497.40000000596,,,,,0,1,0,,,,,1,cluster_pres,,,,pizza.mp4,,,,,,,,,pizza_man.mp4,cluster,pizza,man,115,a,9,,,
