LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1707824237.326455,622524.000,31614,7,MZ,1,100, 5
1707824237.326455,622524.000,31614,7,MZ,1,100, 5
1707824237.326455,622524.000,31614,7,MZ,1,100, 6
1707824237.326455,622524.000,31614,7,MZ,1,100, 6
1707824237.326455,622524.000,31614,7,MZ,1,100, 6
1707824237.326455,622524.000,31614,7,MZ,1,100, 5
1707824237.326455,622524.000,31614,7,MZ,1,100, 5
1707824237.366306,622562.667,31631,3,MZ,1,100, 5
1707824237.406157,622601.333,31631,3,MZ,1,100, 5
1707824237.446008,622640.000,31631,3,MZ,1,100, 5
1707824237.486718,622679.500,31648,2,MZ,1,100, 5
1707824237.527428,622719.000,31648,2,MZ,1,100, 5
1707824237.567966,622758.333,31662,3,MZ,1,100, 5
1707824237.608504,622797.667,31662,3,MZ,1,100, 5
1707824237.649043,622837.000,31662,3,MZ,1,100, 5
1707824237.688894,622875.667,31680,3,MZ,1,100, 5
1707824237.728745,622914.333,31680,3,MZ,1,100, 4
1707824237.768596,622953.000,31680,3,MZ,1,100, 5
1707824237.808275,622991.500,31698,2,MZ,1,100, 6
1707824237.847954,623030.000,31698,2,MZ,1,100, 6
1707824237.887805,623068.667,31715,3,MZ,1,100, 5
1707824237.927656,623107.333,31715,3,MZ,1,100, 6
1707824237.967507,623146.000,31715,3,MZ,1,100, 4
1707824238.007702,623185.000,31732,2,MZ,1,100, 6
1707824238.047897,623224.000,31732,2,MZ,1,100, 6
1707824238.087748,623262.667,31749,3,MZ,1,100, 6
1707824238.127599,623301.333,31749,3,MZ,1,100, 5
1707824238.167450,623340.000,31749,3,MZ,1,100, 5
1707824238.207988,623379.333,31765,3,MZ,1,100, 5
1707824238.248526,623418.667,31765,3,MZ,1,100, 6
1707824238.289064,623458.000,31765,3,MZ,1,100, 5
1707824238.328915,623496.667,31787,3,MZ,1,100, 6
1707824238.368766,623535.333,31787,3,MZ,1,100, 5
1707824238.408617,623574.000,31787,3,MZ,1,100, 5
1707824238.448812,623613.000,31804,2,MZ,1,100, 7
1707824238.489006,623652.000,31804,2,MZ,1,100, 6
1707824238.528857,623690.667,31820,3,MZ,1,100, 6
1707824238.568709,623729.333,31820,3,MZ,1,100, 5
1707824238.608560,623768.000,31820,3,MZ,1,100, 5
1707824238.647724,623806.000,31835,3,MZ,1,100, 4
1707824238.686888,623844.000,31835,3,MZ,1,100, 4
1707824238.726051,623882.000,31835,3,MZ,1,100, 5
1707824238.766761,623921.500,31853,2,MZ,1,100, 5
1707824238.807471,623961.000,31853,2,MZ,1,100, 6
1707824238.847666,624000.000,31871,3,MZ,1,100, 5
1707824238.887860,624039.000,31871,3,MZ,1,100, 6
1707824238.928055,624078.000,31871,3,MZ,1,100, 5
