LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1707824442.950647,822037,63401,1,BI,1,100,920
1707824443.865847,822925,63550,1,BI,1,100,920
1707824444.778986,823811,63689,1,BI,1,100,920
1707824445.588031,824596,63823,1,BI,1,100,800
1707824446.432117,825415,63956,1,BI,1,100,840
1707824447.231886,826191,64075,1,BI,1,100,800
1707824448.028564,826964,64194,1,BI,1,100,800
1707824448.839670,827751,64310,1,BI,1,100,800
1707824449.671389,828558,64417,1,BI,1,100,840
1707824450.512383,829374,64552,1,BI,1,100,840
1707824451.406971,830242,64686,1,BI,1,100,880
1707824452.240751,831051,64807,1,BI,1,100,840
1707824453.160073,831943,64878,1,BI,1,100,920
1707824453.994884,832753,65011,1,BI,1,100,840
1707824454.920390,833651,65165,1,BI,1,100,920
1707824455.800549,834505,65299,1,BI,1,100,880
1707824456.719871,835397,65449,1,BI,1,100,920
1707824457.572202,836224,48,1,BI,1,100,840
1707824458.328685,836958,165,1,BI,1,100,760
1707824459.162465,837767,298,1,BI,1,100,840
1707824460.001399,838581,430,1,BI,1,100,840
1707824460.811474,839367,552,1,BI,1,100,800
1707824461.650408,840181,686,1,BI,1,100,840
1707824462.489341,840995,821,1,BI,1,100,840
1707824463.420000,841898,970,1,BI,1,100,920
1707824464.335200,842786,1119,1,BI,1,100,920
1707824465.297809,843720,1269,1,BI,1,100,960
1707824466.226407,844621,1427,1,BI,1,100,920
1707824467.141607,845509,1561,1,BI,1,100,920
1707824468.093910,846433,1728,1,BI,1,100,960
1707824469.018385,847330,1877,1,BI,1,100,920
1707824469.978933,848262,2026,1,BI,1,100,960
1707824470.858061,849115,2164,1,BI,1,100,880
1707824471.780475,850010,2298,1,BI,1,100,920
1707824472.745145,850946,2467,1,BI,1,100,960
1707824473.545945,851723,2583,1,BI,1,100,800
1707824474.421981,852573,2732,1,BI,1,100,880
1707824475.316569,853441,2866,1,BI,1,100,880
1707824476.195696,854294,3004,1,BI,1,100,880
1707824477.106774,855178,3156,1,BI,1,100,920
1707824477.997239,856042,3290,1,BI,1,100,880
1707824478.835141,856855,3439,1,BI,1,100,840
1707824479.674074,857669,3571,1,BI,1,100,840
1707824480.514038,858484,3704,1,BI,1,100,840
1707824481.362247,859307,3844,1,BI,1,100,840
1707824482.196027,860116,3964,1,BI,1,100,840
1707824483.030838,860926,4081,1,BI,1,100,840
1707824483.884200,861754,4214,1,BI,1,100,840
1707824484.722103,862567,4349,1,BI,1,100,840
1707824485.519811,863341,4467,1,BI,1,100,800
1707824486.319580,864117,4584,1,BI,1,100,800
1707824487.121411,864895,4678,1,BI,1,100,800
1707824487.927364,865677,4764,1,BI,1,100,800
1707824488.806492,866530,4914,1,BI,1,100,880
1707824489.565036,867266,5029,1,BI,1,100,760
1707824490.258650,867939,5146,1,BI,1,100,680
1707824491.054297,868711,5262,1,BI,1,100,800
1707824491.844791,869478,5398,1,BI,1,100,800
1707824492.642499,870252,5519,1,BI,1,100,800
