LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1707824396.963912,777417,56298,1,HR,1,100,70
1707824397.851285,778278,56450,1,HR,1,100,70
1707824398.687126,779089,56585,1,HR,1,100,70
1707824399.609541,779984,56734,1,HR,1,100,69
1707824400.460842,780810,56866,1,HR,1,100,70
1707824401.293591,781618,56999,1,HR,1,100,70
1707824402.130463,782430,57106,1,HR,1,100,70
1707824402.968366,783243,57240,1,HR,1,100,71
1707824403.821728,784071,57375,1,HR,1,100,71
1707824404.657569,784882,57508,1,HR,1,100,71
1707824405.498564,785698,57640,1,HR,1,100,71
1707824406.387998,786561,57789,1,HR,1,100,70
1707824407.302167,787448,57931,1,HR,1,100,69
1707824408.184387,788304,58051,1,HR,1,100,69
1707824409.064545,789158,58201,1,HR,1,100,69
1707824409.955010,790022,58335,1,HR,1,100,69
1707824410.868149,790908,58484,1,HR,1,100,68
1707824411.740062,791754,58634,1,HR,1,100,68
1707824412.630527,792618,58755,1,HR,1,100,68
1707824413.470491,793433,58889,1,HR,1,100,69
1707824414.348588,794285,59022,1,HR,1,100,69
1707824415.240084,795150,59156,1,HR,1,100,69
1707824416.033669,795920,59273,1,HR,1,100,70
1707824416.870541,796732,59405,1,HR,1,100,70
1707824417.633208,797472,59508,1,HR,1,100,72
1707824418.473172,798287,59619,1,HR,1,100,72
1707824419.324472,799113,59688,1,HR,1,100,72
1707824420.195355,799958,59838,1,HR,1,100,71
1707824421.070360,800807,59972,1,HR,1,100,70
1707824421.922692,801634,60105,1,HR,1,100,71
1707824422.801820,802487,60240,1,HR,1,100,70
1707824423.680948,803340,60377,1,HR,1,100,70
1707824424.571412,804204,60526,1,HR,1,100,69
1707824425.444357,805051,60660,1,HR,1,100,69
1707824426.362648,805942,60810,1,HR,1,100,68
1707824427.255174,806808,60944,1,HR,1,100,68
1707824428.132241,807659,61093,1,HR,1,100,68
1707824429.013430,808514,61219,1,HR,1,100,68
1707824429.887405,809362,61369,1,HR,1,100,68
1707824430.735614,810185,61503,1,HR,1,100,69
1707824431.572486,810997,61636,1,HR,1,100,69
1707824432.455736,811854,61755,1,HR,1,100,69
1707824433.346201,812718,61890,1,HR,1,100,69
1707824434.218114,813564,62028,1,HR,1,100,69
1707824435.052925,814374,62160,1,HR,1,100,69
1707824435.886705,815183,62293,1,HR,1,100,70
1707824436.738006,816009,62427,1,HR,1,100,70
1707824437.618165,816863,62562,1,HR,1,100,70
1707824438.458128,817678,62694,1,HR,1,100,70
1707824439.309429,818504,62819,1,HR,1,100,70
1707824440.184435,819353,62951,1,HR,1,100,70
1707824441.105818,820247,63101,1,HR,1,100,69
1707824442.023079,821137,63250,1,HR,1,100,68
1707824442.950647,822037,63402,1,HR,1,100,67
1707824443.865847,822925,63551,1,HR,1,100,67
1707824444.778986,823811,63690,1,HR,1,100,67
1707824445.588031,824596,63824,1,HR,1,100,68
1707824446.432117,825415,63957,1,HR,1,100,69
1707824447.231886,826191,64076,1,HR,1,100,70
1707824448.028564,826964,64195,1,HR,1,100,71
1707824448.839670,827751,64311,1,HR,1,100,72
1707824449.671389,828558,64418,1,HR,1,100,72
1707824450.512383,829374,64553,1,HR,1,100,72
1707824451.406971,830242,64687,1,HR,1,100,71
1707824452.240751,831051,64808,1,HR,1,100,71
1707824453.160073,831943,64879,1,HR,1,100,70
1707824453.994884,832753,65012,1,HR,1,100,70
1707824454.920390,833651,65166,1,HR,1,100,69
1707824455.800549,834505,65300,1,HR,1,100,69
1707824456.719871,835397,65450,1,HR,1,100,68
1707824457.572202,836224,49,1,HR,1,100,69
1707824458.328685,836958,166,1,HR,1,100,71
1707824459.162465,837767,299,1,HR,1,100,71
1707824460.001399,838581,431,1,HR,1,100,71
1707824460.811474,839367,553,1,HR,1,100,72
1707824461.650408,840181,687,1,HR,1,100,72
1707824462.489341,840995,822,1,HR,1,100,72
1707824463.420000,841898,971,1,HR,1,100,70
1707824464.335200,842786,1120,1,HR,1,100,69
1707824465.297809,843720,1270,1,HR,1,100,68
1707824466.226407,844621,1428,1,HR,1,100,67
1707824467.141607,845509,1562,1,HR,1,100,67
1707824468.093910,846433,1729,1,HR,1,100,66
1707824469.018385,847330,1878,1,HR,1,100,66
1707824469.978933,848262,2027,1,HR,1,100,65
1707824470.858061,849115,2165,1,HR,1,100,66
1707824471.780475,850010,2299,1,HR,1,100,66
1707824472.745145,850946,2468,1,HR,1,100,65
1707824473.545945,851723,2584,1,HR,1,100,67
1707824474.421981,852573,2733,1,HR,1,100,67
1707824475.316569,853441,2867,1,HR,1,100,68
1707824476.195696,854294,3005,1,HR,1,100,68
1707824477.106774,855178,3157,1,HR,1,100,67
1707824477.997239,856042,3291,1,HR,1,100,67
1707824478.835141,856855,3440,1,HR,1,100,68
1707824479.674074,857669,3572,1,HR,1,100,69
1707824480.514038,858484,3705,1,HR,1,100,70
1707824481.362247,859307,3845,1,HR,1,100,70
1707824482.196027,860116,3965,1,HR,1,100,70
1707824483.030838,860926,4082,1,HR,1,100,71
1707824483.884200,861754,4215,1,HR,1,100,71
1707824484.722103,862567,4350,1,HR,1,100,71
1707824485.519811,863341,4468,1,HR,1,100,72
1707824486.319580,864117,4585,1,HR,1,100,73
1707824487.121411,864895,4679,1,HR,1,100,73
1707824487.927364,865677,4765,1,HR,1,100,73
1707824488.806492,866530,4915,1,HR,1,100,72
1707824489.565036,867266,5030,1,HR,1,100,74
1707824490.258650,867939,5147,1,HR,1,100,77
1707824491.054297,868711,5263,1,HR,1,100,77
1707824491.844791,869478,5399,1,HR,1,100,76
1707824492.642499,870252,5520,1,HR,1,100,76
