LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1707824241.595842,626666.500,32303,4,EM,1,100,RB
1707824241.647631,626716.750,32303,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824241.699421,626767.000,32303,4,EM,1,100,PS
1707824241.751210,626817.250,32337,4,EM,1,100,RS
1707824241.802999,626867.500,32337,4,EM,1,100,RB
1707824241.854788,626917.750,32337,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824241.906577,626968.000,32337,4,EM,1,100,PS
1707824241.966096,627025.750,32368,4,EM,1,100,RS
1707824242.025615,627083.500,32368,4,EM,1,100,RB
1707824242.085134,627141.250,32368,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824242.144653,627199.000,32368,4,EM,1,100,PS
1707824242.196442,627249.250,32404,4,EM,1,100,RS
1707824242.248231,627299.500,32404,4,EM,1,100,RB
1707824242.300021,627349.750,32404,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824242.351810,627400.000,32404,4,EM,1,100,PS
1707824242.413132,627459.500,32438,4,EM,1,100,RS
1707824242.474455,627519.000,32438,4,EM,1,100,RB
1707824242.535777,627578.500,32438,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824242.597100,627638.000,32438,4,EM,1,100,PS
1707824242.648889,627688.250,32472,4,EM,1,100,RS
1707824242.700678,627738.500,32472,4,EM,1,100,RB
1707824242.752467,627788.750,32472,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824242.804257,627839.000,32472,4,EM,1,100,PS
1707824242.856046,627889.250,32505,4,EM,1,100,RS
1707824242.907835,627939.500,32505,4,EM,1,100,RB
1707824242.959624,627989.750,32505,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824243.011413,628040.000,32505,4,EM,1,100,PS
1707824243.071963,628098.750,32541,4,EM,1,100,RS
1707824243.132512,628157.500,32541,4,EM,1,100,RB
1707824243.193062,628216.250,32541,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824243.253611,628275.000,32541,4,EM,1,100,PS
1707824243.305916,628325.750,32575,4,EM,1,100,RS
1707824243.358220,628376.500,32575,4,EM,1,100,RB
1707824243.410525,628427.250,32575,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824243.462829,628478.000,32575,4,EM,1,100,PS
1707824243.526986,628540.250,32611,4,EM,1,100,RS
1707824243.591143,628602.500,32611,4,EM,1,100,RB
