"","category","item","stim","condition","edv","gid","dyad","pid1","pid2","RR","DET","NRLINE","maxL","L","ENTR","rENTR","LAM","TT","catH","win","TREND","t","use"
"25","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",22.6331360946746,61.437908496732,15,6.26666666666667,6.26666666666667,1.67458956699991,0.934606232454501,88.2352941176471,4.35483870967742,NA,25,NA,16.6666666666667,1
"26","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",19.8224852071006,71.6417910447761,15,6.4,6.4,1.93380999892063,0.929966031821429,85.0746268656716,4.38461538461539,NA,26,NA,17.3333333333333,1
"27","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",14.0532544378698,NA,0,0,0,NA,NA,0,0,NA,27,NA,18,1
"28","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",18.6390532544379,62.6984126984127,11,7.18181818181818,7.18181818181818,1.64173471218752,0.916269588849909,74.6031746031746,5.52941176470588,NA,28,NA,18.6666666666667,1
"29","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",16.7159763313609,53.9823008849557,12,5.08333333333333,5.08333333333333,1.19884931291362,0.864786979256811,85.8407079646018,3.73076923076923,NA,29,NA,19.3333333333333,1
"30","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",17.1597633136095,11.2068965517241,3,4.33333333333333,4.33333333333333,0.636514168294813,0.918295834054489,65.5172413793103,2.92307692307692,NA,30,NA,20,1
"31","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",17.0118343195266,21.7391304347826,5,5,5,0,NA,65.2173913043478,2.77777777777778,NA,31,NA,20.6666666666667,1
"32","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",16.8639053254438,19.2982456140351,5,4.4,4.4,0.673011667009257,0.970950594454669,74.5614035087719,2.42857142857143,NA,32,NA,21.3333333333333,1
"33","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",17.8994082840237,52.0661157024793,13,4.84615384615385,4.84615384615385,1.15698764434527,0.834590168433365,80.1652892561983,3.59259259259259,NA,33,NA,22,1
"34","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",9.31952662721894,7.93650793650794,1,5,5,0,NA,22.2222222222222,2.33333333333333,NA,34,NA,22.6666666666667,1
"35","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",12.7218934911243,22.093023255814,4,4.75,4.75,0.562335144618808,0.811278124459133,55.8139534883721,2.82352941176471,NA,35,NA,23.3333333333333,1
"36","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",14.3491124260355,22.680412371134,5,4.4,4.4,0.673011667009257,0.970950594454669,58.7628865979381,3,NA,36,NA,24,1
"37","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",14.6449704142012,8.08080808080808,2,4,4,0,NA,53.5353535353535,2.78947368421053,NA,37,NA,24.6666666666667,1
"38","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",13.0177514792899,NA,0,0,0,NA,NA,0,0,NA,38,NA,25.3333333333333,1
"39","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",10.9467455621302,NA,0,0,0,NA,NA,0,0,NA,39,NA,26,1
"40","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",5.91715976331361,NA,0,0,0,NA,NA,0,0,NA,40,NA,26.6666666666667,1
"41","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",3.84615384615385,NA,0,0,0,NA,NA,0,0,NA,41,NA,27.3333333333333,1
"42","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",7.39644970414201,NA,0,0,0,NA,NA,0,0,NA,42,NA,28,1
"43","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",12.2781065088757,7.2289156626506,1,6,6,0,NA,33.7349397590361,2.15384615384615,NA,43,NA,28.6666666666667,1
"44","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",10.9467455621302,5.40540540540541,1,4,4,0,NA,35.1351351351351,2.36363636363636,NA,44,NA,29.3333333333333,1
"45","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",8.72781065088757,NA,0,0,0,NA,NA,0,0,NA,45,NA,30,1
"46","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",10.207100591716,18.8405797101449,3,4.33333333333333,4.33333333333333,0.636514168294813,0.918295834054489,44.9275362318841,3.1,NA,46,NA,30.6666666666667,1
"47","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",8.43195266272189,7.01754385964912,1,4,4,0,NA,3.50877192982456,2,NA,47,NA,31.3333333333333,1
"48","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",8.43195266272189,NA,0,0,0,NA,NA,0,0,NA,48,NA,32,1
"49","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",8.43195266272189,NA,0,0,0,NA,NA,0,0,NA,49,NA,32.6666666666667,1
"50","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",7.39644970414201,NA,0,0,0,NA,NA,0,0,NA,50,NA,33.3333333333333,1
"51","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",7.69230769230769,15.3846153846154,2,4,4,0,NA,11.5384615384615,2,NA,51,NA,34,1
"52","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",2.36686390532544,NA,0,0,0,NA,NA,0,0,NA,52,NA,34.6666666666667,1
"53","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",10.3550295857988,NA,0,0,0,NA,NA,0,0,NA,53,NA,35.3333333333333,1
"54","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",8.28402366863905,NA,0,0,0,NA,NA,0,0,NA,54,NA,36,1
"55","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",8.72781065088757,NA,0,0,0,NA,NA,0,0,NA,55,NA,36.6666666666667,1
"56","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",14.792899408284,15,3,5,5,0,NA,39,2.6,NA,56,NA,37.3333333333333,1
"57","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",12.8698224852071,22.9885057471264,5,4,4,0,NA,60.9195402298851,2.52380952380952,NA,57,NA,38,1
