LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1707151602.658225,495666.000,12486,1,TH,1,100,32.745
1707151602.793411,495797.000,12503,1,TH,1,100,32.735
1707151602.926534,495926.000,12519,1,TH,1,100,32.735
1707151603.057593,496053.000,12551,1,TH,1,100,32.730
1707151603.189684,496181.000,12570,1,TH,1,100,32.730
1707151603.324871,496312.000,12586,1,TH,1,100,32.735
1707151603.460057,496443.000,12604,1,TH,1,100,32.735
1707151603.592148,496571.000,12635,1,TH,1,100,32.756
1707151603.724239,496699.000,12652,1,TH,1,100,32.756
1707151603.857362,496828.000,12669,1,TH,1,100,32.615
1707151603.993580,496960.000,12703,1,TH,1,100,32.615
1707151604.126703,497089.000,12719,1,TH,1,100,32.826
1707151604.258794,497217.000,12736,1,TH,1,100,32.826
1707151604.390885,497345.000,12753,1,TH,1,100,32.702
1707151604.525039,497475.000,12784,1,TH,1,100,32.702
1707151604.661258,497607.000,12802,1,TH,1,100,32.730
1707151604.793349,497735.000,12818,1,TH,1,100,32.730
1707151604.924408,497862.000,12837,1,TH,1,100,32.697
1707151605.059078,497992.500,12869,2,TH,1,100,32.697
1707151605.193749,498123.000,12869,2,TH,1,100,32.803
1707151605.326872,498252.000,12885,1,TH,1,100,32.803
1707151605.459995,498381.000,12919,1,TH,1,100,32.584
1707151605.593117,498510.000,12936,1,TH,1,100,32.584
1707151605.728304,498641.000,12955,1,TH,1,100,32.612
1707151605.860395,498769.000,12972,1,TH,1,100,32.612
1707151605.993518,498898.000,13004,1,TH,1,100,32.652
1707151606.125609,499026.000,13020,1,TH,1,100,32.652
1707151606.259763,499156.000,13037,1,TH,1,100,32.720
1707151606.393918,499286.000,13054,1,TH,1,100,32.720
1707151606.527041,499415.000,13071,1,TH,1,100,32.740
1707151606.659132,499543.000,13105,1,TH,1,100,32.740
1707151606.792254,499672.000,13126,2,TH,1,100,32.748
1707151606.925377,499801.000,13126,2,TH,1,100,32.748
1707151607.056436,499928.000,13158,1,TH,1,100,32.753
1707151607.189559,500057.000,13174,1,TH,1,100,32.753
1707151607.323713,500187.000,13191,1,TH,1,100,32.748
1707151607.456836,500316.000,13208,1,TH,1,100,32.748
1707151607.588927,500444.000,13241,1,TH,1,100,32.773
1707151607.721018,500572.000,13259,1,TH,1,100,32.780
1707151607.855173,500702.000,13275,1,TH,1,100,32.737
1707151607.991391,500834.000,13292,1,TH,1,100,32.737
1707151608.123482,500962.000,13324,1,TH,1,100,32.742
1707151608.254541,501089.000,13340,1,TH,1,100,32.742
1707151608.387664,501218.000,13360,1,TH,1,100,32.750
1707151608.522850,501349.000,13376,1,TH,1,100,32.750
1707151608.658037,501480.000,13393,1,TH,1,100,32.725
1707151608.792192,501610.000,13425,1,TH,1,100,32.725
1707151608.922219,501736.000,13441,1,TH,1,100,32.692
1707151609.055341,501865.000,13459,1,TH,1,100,32.692
1707151609.191560,501997.000,13477,1,TH,1,100,32.770
1707151609.324683,502126.000,13494,1,TH,1,100,32.770
1707151609.456774,502254.000,13526,1,TH,1,100,32.850
1707151609.588865,502382.000,13542,1,TH,1,100,32.850
1707151609.721987,502511.000,13560,1,TH,1,100,32.800
1707151609.855110,502640.000,13591,1,TH,1,100,32.800
1707151609.987201,502768.000,13608,1,TH,1,100,32.772
1707151610.120324,502897.000,13627,1,TH,1,100,32.772
1707151610.256542,503029.000,13643,1,TH,1,100,32.824
1707151610.389665,503158.000,13661,1,TH,1,100,32.824
1707151610.522788,503287.000,13694,1,TH,1,100,32.767
1707151610.655911,503416.000,13711,1,TH,1,100,32.767
