LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1707151602.705695,495712.000,12487,7,AX,1,100,0.861
1707151602.705695,495712.000,12487,7,AX,1,100,0.870
1707151602.705695,495712.000,12487,7,AX,1,100,0.866
1707151602.705695,495712.000,12487,7,AX,1,100,0.861
1707151602.705695,495712.000,12487,7,AX,1,100,0.866
1707151602.705695,495712.000,12487,7,AX,1,100,0.873
1707151602.705695,495712.000,12487,7,AX,1,100,0.866
1707151602.745941,495751.000,12504,3,AX,1,100,0.864
1707151602.786188,495790.000,12504,3,AX,1,100,0.864
1707151602.826434,495829.000,12504,3,AX,1,100,0.867
1707151602.866681,495868.000,12520,2,AX,1,100,0.867
1707151602.906927,495907.000,12520,2,AX,1,100,0.869
1707151602.946485,495945.333,12536,3,AX,1,100,0.864
1707151602.986044,495983.667,12536,3,AX,1,100,0.865
1707151603.025602,496022.000,12536,3,AX,1,100,0.866
1707151603.065161,496060.333,12552,3,AX,1,100,0.869
1707151603.104719,496098.667,12552,3,AX,1,100,0.866
1707151603.144278,496137.000,12552,3,AX,1,100,0.866
1707151603.183492,496175.000,12571,2,AX,1,100,0.867
1707151603.222707,496213.000,12571,2,AX,1,100,0.864
1707151603.263297,496252.333,12587,3,AX,1,100,0.864
1707151603.303887,496291.667,12587,3,AX,1,100,0.866
1707151603.344478,496331.000,12587,3,AX,1,100,0.866
1707151603.384724,496370.000,12605,3,AX,1,100,0.867
1707151603.424971,496409.000,12605,3,AX,1,100,0.865
1707151603.465217,496448.000,12605,3,AX,1,100,0.866
1707151603.505463,496487.000,12619,2,AX,1,100,0.866
1707151603.545710,496526.000,12619,2,AX,1,100,0.865
1707151603.585268,496564.333,12636,3,AX,1,100,0.865
1707151603.624827,496602.667,12636,3,AX,1,100,0.866
1707151603.664385,496641.000,12636,3,AX,1,100,0.867
1707151603.704116,496679.500,12653,2,AX,1,100,0.864
1707151603.743846,496718.000,12653,2,AX,1,100,0.871
1707151603.783749,496756.667,12670,3,AX,1,100,0.864
1707151603.823651,496795.333,12670,3,AX,1,100,0.863
1707151603.863553,496834.000,12670,3,AX,1,100,0.865
1707151603.904832,496874.000,12685,2,AX,1,100,0.868
1707151603.946110,496914.000,12685,2,AX,1,100,0.864
1707151603.986357,496953.000,12704,3,AX,1,100,0.868
1707151604.026603,496992.000,12704,3,AX,1,100,0.865
1707151604.066849,497031.000,12704,3,AX,1,100,0.867
1707151604.106752,497069.667,12720,3,AX,1,100,0.866
1707151604.146654,497108.333,12720,3,AX,1,100,0.866
1707151604.186557,497147.000,12720,3,AX,1,100,0.867
1707151604.225771,497185.000,12737,3,AX,1,100,0.862
1707151604.264986,497223.000,12737,3,AX,1,100,0.866
1707151604.304200,497261.000,12737,3,AX,1,100,0.870
1707151604.344446,497300.000,12754,2,AX,1,100,0.869
1707151604.384693,497339.000,12754,2,AX,1,100,0.864
1707151604.424595,497377.667,12770,3,AX,1,100,0.862
1707151604.464498,497416.333,12770,3,AX,1,100,0.870
1707151604.504400,497455.000,12770,3,AX,1,100,0.867
1707151604.545163,497494.500,12785,2,AX,1,100,0.864
1707151604.585925,497534.000,12785,2,AX,1,100,0.867
1707151604.626171,497573.000,12803,3,AX,1,100,0.868
1707151604.666418,497612.000,12803,3,AX,1,100,0.862
1707151604.706664,497651.000,12803,3,AX,1,100,0.865
1707151604.742095,497685.333,12819,3,AX,1,100,0.869
1707151604.777525,497719.667,12819,3,AX,1,100,0.867
1707151604.812956,497754.000,12819,3,AX,1,100,0.866
1707151604.852171,497792.000,12838,3,AX,1,100,0.864
1707151604.891385,497830.000,12838,3,AX,1,100,0.866
1707151604.930599,497868.000,12838,3,AX,1,100,0.864
1707151604.971878,497908.000,12852,2,AX,1,100,0.867
1707151605.013156,497948.000,12852,2,AX,1,100,0.868
1707151605.053196,497986.800,12870,5,AX,1,100,0.865
1707151605.093236,498025.600,12870,5,AX,1,100,0.866
1707151605.133276,498064.400,12870,5,AX,1,100,0.870
1707151605.173316,498103.200,12870,5,AX,1,100,0.863
1707151605.213356,498142.000,12870,5,AX,1,100,0.863
1707151605.253259,498180.667,12886,3,AX,1,100,0.867
1707151605.293161,498219.333,12886,3,AX,1,100,0.865
1707151605.333064,498258.000,12886,3,AX,1,100,0.864
1707151605.373310,498297.000,12903,2,AX,1,100,0.865
1707151605.413557,498336.000,12903,2,AX,1,100,0.867
1707151605.452771,498374.000,12920,3,AX,1,100,0.869
1707151605.491985,498412.000,12920,3,AX,1,100,0.866
1707151605.531200,498450.000,12920,3,AX,1,100,0.866
1707151605.572134,498489.667,12937,3,AX,1,100,0.864
1707151605.613069,498529.333,12937,3,AX,1,100,0.868
1707151605.654003,498569.000,12937,3,AX,1,100,0.866
1707151605.693734,498607.500,12956,2,AX,1,100,0.864
1707151605.733464,498646.000,12956,2,AX,1,100,0.867
1707151605.773710,498685.000,12973,3,AX,1,100,0.864
1707151605.813957,498724.000,12973,3,AX,1,100,0.865
1707151605.854203,498763.000,12973,3,AX,1,100,0.865
1707151605.893934,498801.500,12987,2,AX,1,100,0.867
1707151605.933664,498840.000,12987,2,AX,1,100,0.865
1707151605.973567,498878.667,13005,3,AX,1,100,0.866
1707151606.013469,498917.333,13005,3,AX,1,100,0.867
1707151606.053371,498956.000,13005,3,AX,1,100,0.865
1707151606.093102,498994.500,13021,4,AX,1,100,0.865
1707151606.132832,499033.000,13021,4,AX,1,100,0.865
1707151606.172563,499071.500,13021,4,AX,1,100,0.868
1707151606.212293,499110.000,13021,4,AX,1,100,0.865
1707151606.253056,499149.500,13038,2,AX,1,100,0.868
1707151606.293818,499189.000,13038,2,AX,1,100,0.863
1707151606.333720,499227.667,13055,3,AX,1,100,0.866
1707151606.373623,499266.333,13055,3,AX,1,100,0.867
1707151606.413525,499305.000,13055,3,AX,1,100,0.865
1707151606.453084,499343.333,13072,3,AX,1,100,0.864
1707151606.492642,499381.667,13072,3,AX,1,100,0.866
1707151606.532201,499420.000,13072,3,AX,1,100,0.869
1707151606.572447,499459.000,13088,2,AX,1,100,0.861
1707151606.612693,499498.000,13088,2,AX,1,100,0.866
1707151606.652596,499536.667,13106,3,AX,1,100,0.871
1707151606.692498,499575.333,13106,3,AX,1,100,0.862
1707151606.732401,499614.000,13106,3,AX,1,100,0.863
1707151606.772234,499652.600,13127,5,AX,1,100,0.865
1707151606.812068,499691.200,13127,5,AX,1,100,0.861
1707151606.851902,499729.800,13127,5,AX,1,100,0.865
1707151606.891735,499768.400,13127,5,AX,1,100,0.869
1707151606.931569,499807.000,13127,5,AX,1,100,0.862
1707151606.970783,499845.000,13141,2,AX,1,100,0.868
1707151607.009998,499883.000,13141,2,AX,1,100,0.867
1707151607.049900,499921.667,13159,3,AX,1,100,0.866
1707151607.089803,499960.333,13159,3,AX,1,100,0.866
1707151607.129705,499999.000,13159,3,AX,1,100,0.867
1707151607.166340,500034.500,13175,4,AX,1,100,0.864
1707151607.202974,500070.000,13175,4,AX,1,100,0.867
1707151607.239609,500105.500,13175,4,AX,1,100,0.866
1707151607.276243,500141.000,13175,4,AX,1,100,0.863
1707151607.316490,500180.000,13192,2,AX,1,100,0.866
1707151607.356736,500219.000,13192,2,AX,1,100,0.865
1707151607.396639,500257.667,13209,3,AX,1,100,0.866
1707151607.436541,500296.333,13209,3,AX,1,100,0.862
1707151607.476443,500335.000,13209,3,AX,1,100,0.867
1707151607.516690,500374.000,13227,2,AX,1,100,0.867
1707151607.556936,500413.000,13227,2,AX,1,100,0.865
1707151607.596151,500451.000,13242,3,AX,1,100,0.865
1707151607.635365,500489.000,13242,3,AX,1,100,0.866
1707151607.674580,500527.000,13242,3,AX,1,100,0.867
1707151607.714482,500565.667,13260,3,AX,1,100,0.866
1707151607.754385,500604.333,13260,3,AX,1,100,0.865
1707151607.794287,500643.000,13260,3,AX,1,100,0.865
1707151607.834533,500682.000,13276,2,AX,1,100,0.864
1707151607.874780,500721.000,13276,2,AX,1,100,0.865
1707151607.915370,500760.333,13293,3,AX,1,100,0.868
1707151607.955961,500799.667,13293,3,AX,1,100,0.865
1707151607.996551,500839.000,13293,3,AX,1,100,0.865
1707151608.036797,500878.000,13308,2,AX,1,100,0.865
1707151608.077044,500917.000,13308,2,AX,1,100,0.868
1707151608.116774,500955.500,13325,4,AX,1,100,0.861
1707151608.156505,500994.000,13325,4,AX,1,100,0.866
1707151608.196235,501032.500,13325,4,AX,1,100,0.865
1707151608.235966,501071.000,13325,4,AX,1,100,0.865
1707151608.275180,501109.000,13341,2,AX,1,100,0.862
1707151608.314395,501147.000,13341,2,AX,1,100,0.865
1707151608.354297,501185.667,13361,3,AX,1,100,0.865
1707151608.394199,501224.333,13361,3,AX,1,100,0.866
1707151608.434102,501263.000,13361,3,AX,1,100,0.868
1707151608.475380,501303.000,13377,2,AX,1,100,0.863
1707151608.516659,501343.000,13377,2,AX,1,100,0.865
1707151608.557249,501382.333,13394,3,AX,1,100,0.863
