LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1707151602.644809,495653.000,12485,1,T1,1,100,32.237
1707151602.781028,495785.000,12502,1,T1,1,100,32.244
1707151602.913119,495913.000,12518,1,T1,1,100,32.354
1707151603.044178,496040.000,12535,1,T1,1,100,32.330
1707151603.177300,496169.000,12569,1,T1,1,100,32.285
1707151603.310423,496298.000,12585,1,T1,1,100,32.265
1707151603.445610,496429.000,12603,1,T1,1,100,32.257
1707151603.579765,496559.000,12634,1,T1,1,100,32.288
1707151603.710823,496686.000,12651,1,T1,1,100,32.337
1707151603.843946,496815.000,12668,1,T1,1,100,32.359
1707151603.980165,496947.000,12684,1,T1,1,100,32.262
1707151604.113288,497076.000,12718,1,T1,1,100,32.220
1707151604.245378,497204.000,12735,1,T1,1,100,32.201
1707151604.377469,497332.000,12752,1,T1,1,100,32.229
1707151604.510592,497461.000,12769,1,T1,1,100,32.241
1707151604.646811,497593.000,12801,1,T1,1,100,32.317
1707151604.779933,497722.000,12817,1,T1,1,100,32.279
1707151604.912024,497850.000,12836,1,T1,1,100,32.227
1707151605.046179,497980.000,12868,2,T1,1,100,32.311
1707151605.180334,498110.000,12868,2,T1,1,100,32.312
1707151605.313456,498239.000,12884,1,T1,1,100,32.277
1707151605.446579,498368.000,12902,1,T1,1,100,32.297
1707151605.578670,498496.000,12935,1,T1,1,100,32.164
1707151605.713857,498627.000,12954,1,T1,1,100,32.213
1707151605.848011,498757.000,12971,1,T1,1,100,32.198
1707151605.980102,498885.000,13003,1,T1,1,100,32.228
1707151606.113225,499014.000,13019,1,T1,1,100,32.240
1707151606.246348,499143.000,13036,1,T1,1,100,32.246
1707151606.380503,499273.000,13053,1,T1,1,100,32.213
1707151606.513625,499402.000,13070,1,T1,1,100,32.128
1707151606.645716,499530.000,13104,1,T1,1,100,32.303
1707151606.778839,499659.000,13125,2,T1,1,100,32.273
1707151606.911962,499788.000,13125,2,T1,1,100,32.260
1707151607.044052,499916.000,13157,1,T1,1,100,32.254
1707151607.176143,500044.000,13173,1,T1,1,100,32.287
1707151607.310298,500174.000,13190,1,T1,1,100,32.302
1707151607.443421,500303.000,13207,1,T1,1,100,32.308
1707151607.575512,500431.000,13226,1,T1,1,100,32.240
1707151607.707602,500559.000,13258,1,T1,1,100,32.281
1707151607.840725,500688.000,13274,1,T1,1,100,32.263
1707151607.976944,500820.000,13291,1,T1,1,100,32.220
1707151608.111099,500950.000,13323,1,T1,1,100,32.202
1707151608.242157,501077.000,13339,1,T1,1,100,32.158
1707151608.374248,501205.000,13359,1,T1,1,100,32.246
1707151608.509435,501336.000,13375,1,T1,1,100,32.284
1707151608.644622,501467.000,13392,1,T1,1,100,32.335
1707151608.777744,501596.000,13424,1,T1,1,100,32.287
1707151608.908803,501723.000,13440,1,T1,1,100,32.160
1707151609.040894,501851.000,13458,1,T1,1,100,32.140
1707151609.178145,501984.000,13476,1,T1,1,100,32.309
1707151609.312299,502114.000,13493,1,T1,1,100,32.311
1707151609.444390,502242.000,13525,1,T1,1,100,32.418
1707151609.575449,502369.000,13541,1,T1,1,100,32.323
1707151609.708572,502498.000,13559,1,T1,1,100,32.246
1707151609.841695,502627.000,13575,1,T1,1,100,32.284
1707151609.973785,502755.000,13607,1,T1,1,100,32.336
1707151610.105876,502883.000,13626,1,T1,1,100,32.358
1707151610.243127,503016.000,13642,1,T1,1,100,32.261
1707151610.377282,503146.000,13660,1,T1,1,100,32.290
1707151610.509372,503274.000,13693,1,T1,1,100,32.197
1707151610.642495,503403.000,13710,1,T1,1,100,32.191
1707151610.774586,503531.000,13727,1,T1,1,100,32.189
1707151610.906677,503659.000,13743,1,T1,1,100,32.224
1707151611.039800,503788.000,13777,1,T1,1,100,32.203
1707151611.172922,503917.000,13794,1,T1,1,100,32.230
1707151611.305013,504045.000,13811,1,T1,1,100,32.135
1707151611.439168,504175.000,13828,1,T1,1,100,32.200
1707151611.571259,504303.000,13844,1,T1,1,100,32.264
1707151611.703349,504431.000,13878,1,T1,1,100,32.362
1707151611.836472,504560.000,13895,1,T1,1,100,32.334
1707151611.969595,504689.000,13911,1,T1,1,100,32.286
1707151612.101686,504817.000,13935,1,T1,1,100,32.266
1707151612.233261,504944.500,13951,2,T1,1,100,32.186
1707151612.364835,505072.000,13951,2,T1,1,100,32.258
1707151612.502086,505205.000,13969,1,T1,1,100,32.360
1707151612.635209,505334.000,13989,2,T1,1,100,32.297
1707151612.768332,505463.000,13989,2,T1,1,100,32.235
1707151612.899390,505590.000,14005,1,T1,1,100,32.208
1707151613.032513,505719.000,14023,1,T1,1,100,32.303
1707151613.168732,505851.000,14039,1,T1,1,100,32.379
1707151613.300823,505979.000,14056,1,T1,1,100,32.270
1707151613.432914,506107.000,14073,1,T1,1,100,32.294
1707151613.566036,506236.000,14106,1,T1,1,100,32.269
1707151613.700191,506366.000,14124,1,T1,1,100,32.294
1707151613.835378,506497.000,14140,1,T1,1,100,32.340
1707151613.967469,506625.000,14157,1,T1,1,100,32.360
1707151614.098527,506752.000,14174,1,T1,1,100,32.262
1707151614.231650,506881.000,14205,1,T1,1,100,32.362
1707151614.366837,507012.000,14225,1,T1,1,100,32.369
1707151614.500992,507142.000,14241,1,T1,1,100,32.266
1707151614.634114,507271.000,14273,1,T1,1,100,32.222
1707151614.767237,507400.000,14290,1,T1,1,100,32.202
1707151614.902424,507531.000,14306,1,T1,1,100,32.336
1707151615.034515,507659.000,14324,1,T1,1,100,32.252
1707151615.167637,507788.000,14355,1,T1,1,100,32.286
1707151615.300760,507917.000,14373,1,T1,1,100,32.230
1707151615.432851,508045.000,14393,1,T1,1,100,32.312
1707151615.563910,508172.000,14409,1,T1,1,100,32.312
1707151615.697033,508301.000,14441,1,T1,1,100,32.312
1707151615.830155,508430.000,14458,1,T1,1,100,32.348
1707151615.963278,508559.000,14474,1,T1,1,100,32.363
1707151616.096401,508688.000,14492,1,T1,1,100,32.264
1707151616.227460,508815.000,14525,1,T1,1,100,32.362
1707151616.360583,508944.000,14542,1,T1,1,100,32.334
1707151616.493705,509073.000,14559,1,T1,1,100,32.357
1707151616.624764,509200.000,14575,1,T1,1,100,32.332
1707151616.756855,509328.000,14593,1,T1,1,100,32.215
1707151616.891010,509458.000,14624,1,T1,1,100,32.235
1707151617.023101,509586.000,14641,1,T1,1,100,32.385
1707151617.156223,509715.000,14660,1,T1,1,100,32.344
1707151617.288314,509843.000,14676,1,T1,1,100,32.362
1707151617.419373,509970.000,14713,1,T1,1,100,32.369
1707151617.552496,510099.000,14730,1,T1,1,100,32.266
1707151617.687682,510230.000,14747,1,T1,1,100,32.292
1707151617.821837,510360.000,14764,1,T1,1,100,32.375
1707151617.954960,510489.000,14798,1,T1,1,100,32.375
1707151618.086019,510616.000,14814,1,T1,1,100,32.410
1707151618.219142,510745.000,14831,1,T1,1,100,32.284
1707151618.355360,510877.000,14863,1,T1,1,100,32.229
1707151618.488483,511006.000,14879,1,T1,1,100,32.312
1707151618.620574,511134.000,14896,1,T1,1,100,32.348
1707151618.753697,511263.000,14913,1,T1,1,100,32.399
1707151618.887851,511393.000,14946,1,T1,1,100,32.279
1707151619.023038,511524.000,14964,1,T1,1,100,32.333
1707151619.157193,511654.000,14980,1,T1,1,100,32.322
1707151619.287220,511780.000,14997,1,T1,1,100,32.281
1707151619.420342,511909.000,15029,1,T1,1,100,32.299
1707151619.553465,512038.000,15045,1,T1,1,100,32.342
1707151619.686588,512167.000,15063,1,T1,1,100,32.432
1707151619.819711,512296.000,15096,1,T1,1,100,32.400
1707151619.950770,512423.000,15112,1,T1,1,100,32.279
1707151620.082860,512551.000,15130,1,T1,1,100,32.227
1707151620.217015,512681.000,15146,1,T1,1,100,32.382
1707151620.349106,512809.000,15180,1,T1,1,100,32.413
1707151620.482229,512938.000,15197,1,T1,1,100,32.321
1707151620.615351,513067.000,15215,1,T1,1,100,32.422
1707151620.746410,513194.000,15233,1,T1,1,100,32.431
1707151620.879533,513323.000,15264,1,T1,1,100,32.364
1707151621.012656,513452.000,15281,1,T1,1,100,32.335
1707151621.144747,513580.000,15298,1,T1,1,100,32.358
1707151621.277869,513709.000,15314,1,T1,1,100,32.403
1707151621.410992,513838.000,15346,1,T1,1,100,32.387
1707151621.543083,513966.000,15365,1,T1,1,100,32.309
1707151621.676206,514095.000,15382,1,T1,1,100,32.311
1707151621.809329,514224.000,15413,1,T1,1,100,32.276
1707151621.940387,514351.000,15430,1,T1,1,100,32.297
1707151622.073510,514480.000,15447,1,T1,1,100,32.270
1707151622.207665,514610.000,15464,1,T1,1,100,32.365
1707151622.342852,514741.000,15498,1,T1,1,100,32.300
1707151622.477006,514871.000,15514,1,T1,1,100,32.378
1707151622.607033,514997.000,15536,1,T1,1,100,32.305
1707151622.740156,515126.000,15553,1,T1,1,100,32.309
1707151622.875343,515257.000,15570,1,T1,1,100,32.311
1707151623.009497,515387.000,15602,1,T1,1,100,32.347
1707151623.142620,515516.000,15618,1,T1,1,100,32.399
1707151623.272647,515642.000,15637,1,T1,1,100,32.279
1707151623.405770,515771.000,15669,1,T1,1,100,32.440
1707151623.543020,515904.000,15685,1,T1,1,100,32.438
1707151623.677175,516034.000,15703,1,T1,1,100,32.402
1707151623.809266,516162.000,15719,1,T1,1,100,32.351
1707151623.942389,516291.000,15751,1,T1,1,100,32.400
1707151624.074480,516419.000,15768,1,T1,1,100,32.350
1707151624.209666,516550.000,15786,1,T1,1,100,32.364
1707151624.342789,516679.000,15818,1,T1,1,100,32.299
