LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1707151782.456523,669896.000,40402,1,SF,1,100,0.0498
1707151782.787782,670217.000,40451,1,SF,1,100,0.0492
1707151783.122137,670541.000,40501,1,SF,1,100,0.0487
1707151783.454428,670863.000,40552,1,SF,1,100,0.0481
1707151783.721705,671122.000,40602,1,SF,1,100,0.0475
1707151784.120042,671508.000,40634,1,SF,1,100,0.0470
1707151784.584424,671958.000,40671,1,SF,1,100,0.0465
1707151784.782560,672150.000,40704,1,SF,1,100,0.0459
1707151785.115883,672473.000,40757,1,SF,1,100,0.0454
1707151785.380064,672729.000,40806,1,SF,1,100,0.0449
1707151785.712355,673051.000,40856,1,SF,1,100,0.0443
1707151786.043614,673372.000,40907,1,SF,1,100,0.0438
1707151786.375905,673694.000,40955,1,SF,1,100,0.0433
1707151786.775274,674081.000,41008,1,SF,1,100,0.0428
1707151787.042551,674340.000,41060,1,SF,1,100,0.0423
1707151787.375874,674663.000,41109,1,SF,1,100,0.0418
1707151787.709197,674986.000,41157,1,SF,1,100,0.0414
1707151788.107533,675372.000,41225,1,SF,1,100,0.0409
1707151788.444984,675699.000,41275,1,SF,1,100,0.0404
1707151788.709166,675955.000,41325,1,SF,1,100,0.0399
1707151789.041457,676277.000,41376,1,SF,1,100,0.0395
1707151789.372715,676598.000,41424,1,SF,1,100,0.0390
1707151789.703974,676919.000,41475,1,SF,1,100,0.0386
1707151790.035233,677240.000,41525,1,SF,1,100,0.0381
1707151790.435634,677628.000,41592,1,SF,1,100,0.0377
1707151790.768957,677951.000,41643,1,SF,1,100,0.0372
1707151791.034170,678208.000,41693,1,SF,1,100,0.0368
1707151791.370589,678534.000,41742,1,SF,1,100,0.0364
1707151791.705976,678859.000,41792,1,SF,1,100,0.0360
1707151792.037235,679180.000,41849,1,SF,1,100,0.0355
1707151792.372622,679505.000,41901,1,SF,1,100,0.0351
1707151792.703881,679826.000,41950,1,SF,1,100,0.0347
1707151793.038236,680150.000,41998,1,SF,1,100,0.0343
1707151793.370526,680472.000,42051,1,SF,1,100,0.0339
1707151793.703849,680795.000,42099,1,SF,1,100,0.0335
1707151794.101154,681180.000,42167,1,SF,1,100,0.0331
1707151794.436541,681505.000,42217,1,SF,1,100,0.0328
1707151794.769864,681828.000,42265,1,SF,1,100,0.0324
1707151795.036109,682086.000,42318,1,SF,1,100,0.0320
1707151795.370464,682410.000,42368,1,SF,1,100,0.0316
1707151795.703787,682733.000,42417,1,SF,1,100,0.0313
1707151796.101091,683118.000,42485,1,SF,1,100,0.0309
1707151796.433382,683440.000,42534,1,SF,1,100,0.0306
1707151796.698596,683697.000,42585,1,SF,1,100,0.0302
1707151797.100028,684086.000,42639,1,SF,1,100,0.0299
1707151797.433351,684409.000,42690,1,SF,1,100,0.0295
1707151797.765642,684731.000,42740,1,SF,1,100,0.0292
1707151798.033951,684991.000,42789,1,SF,1,100,0.0288
1707151798.365210,685312.000,42840,1,SF,1,100,0.0285
1707151798.696469,685633.000,42890,1,SF,1,100,0.0282
1707151799.098933,686023.000,42955,1,SF,1,100,0.0278
1707151799.428129,686342.000,43005,1,SF,1,100,0.0275
1707151799.697470,686603.000,43056,1,SF,1,100,0.0272
1707151800.028729,686924.000,43106,1,SF,1,100,0.0269
1707151800.365148,687250.000,43157,1,SF,1,100,0.0266
1707151800.761420,687634.000,43223,1,SF,1,100,0.0263
1707151801.098871,687961.000,43274,1,SF,1,100,0.0260
1707151801.366148,688220.000,43323,1,SF,1,100,0.0257
1707151801.697407,688541.000,43373,1,SF,1,100,0.0254
1707151802.032794,688866.000,43424,1,SF,1,100,0.0251
1707151802.365085,689188.000,43477,1,SF,1,100,0.0248
1707151802.697376,689510.000,43529,1,SF,1,100,0.0245
1707151803.028635,689831.000,43577,1,SF,1,100,0.0242
1707151803.359894,690152.000,43628,1,SF,1,100,0.0239
1707151803.758230,690538.000,43695,1,SF,1,100,0.0237
1707151804.087426,690857.000,43743,1,SF,1,100,0.0234
1707151804.357799,691119.000,43796,1,SF,1,100,0.0231
1707151804.689058,691440.000,43844,1,SF,1,100,0.0228
1707151805.025477,691766.000,43893,1,SF,1,100,0.0226
1707151805.423813,692152.000,43963,1,SF,1,100,0.0223
1707151805.758168,692476.000,44012,1,SF,1,100,0.0221
1707151806.023382,692733.000,44063,1,SF,1,100,0.0218
1707151806.357736,693057.000,44113,1,SF,1,100,0.0216
1707151806.694155,693383.000,44162,1,SF,1,100,0.0213
1707151807.025414,693704.000,44212,1,SF,1,100,0.0211
1707151807.422719,694089.000,44277,1,SF,1,100,0.0208
1707151807.689996,694348.000,44319,1,SF,1,100,0.0206
1707151808.021255,694669.000,44369,1,SF,1,100,0.0203
1707151808.419591,695055.000,44436,1,SF,1,100,0.0201
1707151808.750850,695376.000,44485,1,SF,1,100,0.0199
1707151809.019160,695636.000,44535,1,SF,1,100,0.0196
1707151809.350419,695957.000,44586,1,SF,1,100,0.0194
1707151809.684774,696281.000,44634,1,SF,1,100,0.0192
1707151810.085174,696669.000,44704,1,SF,1,100,0.0190
1707151810.416433,696990.000,44754,1,SF,1,100,0.0187
1707151810.684742,697250.000,44802,1,SF,1,100,0.0185
1707151811.018065,697573.000,44855,1,SF,1,100,0.0183
1707151811.349324,697894.000,44887,1,SF,1,100,0.0181
1707151811.680583,698215.000,44935,1,SF,1,100,0.0179
1707151812.077888,698600.000,45002,1,SF,1,100,0.0177
1707151812.410179,698922.000,45053,1,SF,1,100,0.0175
1707151812.740406,699242.000,45103,1,SF,1,100,0.0173
1707151813.006651,699500.000,45142,1,SF,1,100,0.0171
1707151813.336878,699820.000,45193,1,SF,1,100,0.0169
1707151813.668137,700141.000,45243,1,SF,1,100,0.0167
1707151814.070601,700531.000,45310,1,SF,1,100,0.0165
1707151814.467906,700916.000,45361,1,SF,1,100,0.0163
1707151814.671202,701113.000,45395,1,SF,1,100,0.0161
1707151815.070570,701500.000,45464,1,SF,1,100,0.0159
1707151815.403893,701823.000,45512,1,SF,1,100,0.0157
1707151815.736184,702145.000,45563,1,SF,1,100,0.0156
1707151816.070539,702469.000,45613,1,SF,1,100,0.0154
1707151816.400766,702789.000,45664,1,SF,1,100,0.0152
1707151816.733057,703111.000,45714,1,SF,1,100,0.0150
1707151816.997239,703367.000,45765,1,SF,1,100,0.0149
1707151817.395575,703753.000,45813,1,SF,1,100,0.0147
1707151817.660788,704010.000,45866,1,SF,1,100,0.0145
1707151817.994111,704333.000,45914,1,SF,1,100,0.0143
1707151818.456429,704781.000,45973,1,SF,1,100,0.0142
1707151818.722675,705039.000,45991,1,SF,1,100,0.0140
1707151819.117915,705422.000,46025,1,SF,1,100,0.0139
1707151819.321211,705619.000,46061,1,SF,1,100,0.0137
1707151819.652470,705940.000,46112,1,SF,1,100,0.0135
1707151819.988889,706266.000,46160,1,SF,1,100,0.0134
1707151820.319116,706586.000,46213,1,SF,1,100,0.0132
1707151820.720548,706975.000,46278,1,SF,1,100,0.0131
1707151820.985762,707232.000,46330,1,SF,1,100,0.0129
1707151821.322181,707558.000,46379,1,SF,1,100,0.0128
1707151821.652408,707878.000,46427,1,SF,1,100,0.0126
1707151821.984699,708200.000,46480,1,SF,1,100,0.0125
1707151822.382003,708585.000,46545,1,SF,1,100,0.0123
1707151822.714294,708907.000,46595,1,SF,1,100,0.0122
1707151822.978476,709163.000,46646,1,SF,1,100,0.0120
1707151823.310767,709485.000,46694,1,SF,1,100,0.0119
1707151823.710135,709872.000,46736,1,SF,1,100,0.0118
1707151824.043458,710195.000,46785,1,SF,1,100,0.0116
1707151824.376781,710518.000,46837,1,SF,1,100,0.0115
1707151824.645090,710778.000,46885,1,SF,1,100,0.0114
1707151824.976349,711099.000,46936,1,SF,1,100,0.0112
1707151825.311736,711424.000,46988,1,SF,1,100,0.0111
1707151825.644027,711746.000,47037,1,SF,1,100,0.0110
1707151825.978382,712070.000,47089,1,SF,1,100,0.0108
1707151826.374654,712454.000,47154,1,SF,1,100,0.0107
1707151826.705913,712775.000,47205,1,SF,1,100,0.0106
1707151826.970095,713031.000,47255,1,SF,1,100,0.0105
1707151827.305482,713356.000,47304,1,SF,1,100,0.0104
1707151827.636741,713677.000,47354,1,SF,1,100,0.0102
