LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1707151804.315489,691078,43795,1,HR,1,100,71
1707151805.152408,691889,43930,1,HR,1,100,71
1707151805.955272,692667,44045,1,HR,1,100,72
1707151806.813862,693499,44180,1,HR,1,100,72
1707151807.648718,694308,44318,1,HR,1,100,72
1707151808.445390,695080,44435,1,HR,1,100,72
1707151809.282310,695891,44568,1,HR,1,100,72
1707151810.085174,696669,44703,1,HR,1,100,73
1707151810.938604,697496,44837,1,HR,1,100,72
1707151811.732181,698265,44954,1,HR,1,100,73
1707151812.566005,699073,45088,1,HR,1,100,73
1707151813.402924,699884,45211,1,HR,1,100,72
1707151814.203724,700660,45327,1,HR,1,100,73
1707151815.057155,701487,45463,1,HR,1,100,73
1707151815.855891,702261,45581,1,HR,1,100,73
1707151816.691779,703071,45713,1,HR,1,100,73
1707151817.489483,703844,45832,1,HR,1,100,73
1707151818.319179,704648,45972,1,HR,1,100,73
1707151819.212856,705514,46044,1,HR,1,100,72
1707151820.053902,706329,46181,1,HR,1,100,72
1707151820.891854,707141,46313,1,HR,1,100,72
1707151821.730837,707954,46446,1,HR,1,100,72
1707151822.567756,708765,46580,1,HR,1,100,72
1707151823.414994,709586,46718,1,HR,1,100,72
1707151824.256041,710401,46819,1,HR,1,100,72
1707151825.056842,711177,46954,1,HR,1,100,72
1707151825.895825,711990,47088,1,HR,1,100,72
1707151826.693530,712763,47204,1,HR,1,100,73
1707151827.545928,713589,47339,1,HR,1,100,72
1707151828.341569,714360,47471,1,HR,1,100,73
1707151829.184680,715177,47610,1,HR,1,100,73
1707151830.062877,716028,47746,1,HR,1,100,72
1707151830.946235,716884,47878,1,HR,1,100,71
1707151831.840944,717751,48027,1,HR,1,100,70
1707151832.718109,718601,48177,1,HR,1,100,70
1707151833.560188,719417,48294,1,HR,1,100,70
1707151834.399171,720230,48432,1,HR,1,100,70
1707151835.281496,721085,48568,1,HR,1,100,70
1707151836.163822,721940,48718,1,HR,1,100,70
1707151836.967718,722719,48833,1,HR,1,100,71
1707151837.770583,723497,48968,1,HR,1,100,72
1707151838.607502,724308,49100,1,HR,1,100,72
1707151839.383535,725060,49221,1,HR,1,100,73
1707151840.177112,725829,49341,1,HR,1,100,74
1707151840.972753,726600,49473,1,HR,1,100,74
1707151841.810704,727412,49606,1,HR,1,100,73
1707151842.569194,728147,49724,1,HR,1,100,75
1707151843.409209,728961,49857,1,HR,1,100,74
1707151844.262640,729788,49989,1,HR,1,100,73
1707151845.059312,730560,50112,1,HR,1,100,74
1707151845.853921,731330,50230,1,HR,1,100,74
1707151846.691872,732142,50365,1,HR,1,100,73
1707151847.506088,732931,50497,1,HR,1,100,74
