LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1707151602.719110,495725.000,12480,3,PI,1,100,165342
1707151602.719110,495725.000,12480,3,PI,1,100,165458
1707151602.719110,495725.000,12480,3,PI,1,100,165601
1707151602.759357,495764.000,12497,2,PI,1,100,165723
1707151602.799603,495803.000,12497,2,PI,1,100,165357
1707151602.839850,495842.000,12513,3,PI,1,100,163724
1707151602.880096,495881.000,12513,3,PI,1,100,163263
1707151602.920342,495920.000,12513,3,PI,1,100,163289
1707151602.959557,495958.000,12530,3,PI,1,100,163321
1707151602.998771,495996.000,12530,3,PI,1,100,163393
1707151603.037986,496034.000,12530,3,PI,1,100,163683
1707151603.077200,496072.000,12546,2,PI,1,100,164032
1707151603.116415,496110.000,12546,2,PI,1,100,164155
1707151603.155973,496148.333,12564,3,PI,1,100,164143
1707151603.195532,496186.667,12564,3,PI,1,100,164206
1707151603.235090,496225.000,12564,3,PI,1,100,164335
1707151603.276368,496265.000,12580,2,PI,1,100,164525
1707151603.317647,496305.000,12580,2,PI,1,100,164741
1707151603.358237,496344.333,12598,3,PI,1,100,164948
1707151603.398828,496383.667,12598,3,PI,1,100,165152
1707151603.439418,496423.000,12598,3,PI,1,100,165330
1707151603.479320,496461.667,12614,3,PI,1,100,165463
1707151603.519223,496500.333,12614,3,PI,1,100,165590
1707151603.559125,496539.000,12614,3,PI,1,100,165722
1707151603.598340,496577.000,12629,2,PI,1,100,165820
1707151603.637554,496615.000,12629,2,PI,1,100,165240
1707151603.677113,496653.333,12646,3,PI,1,100,163575
1707151603.716671,496691.667,12646,3,PI,1,100,163218
1707151603.756230,496730.000,12646,3,PI,1,100,163223
1707151603.796476,496769.000,12663,3,PI,1,100,163247
1707151603.836722,496808.000,12663,3,PI,1,100,163339
1707151603.876969,496847.000,12663,3,PI,1,100,163586
1707151603.918247,496887.000,12679,2,PI,1,100,163942
1707151603.959526,496927.000,12679,2,PI,1,100,164087
1707151603.999772,496966.000,12698,3,PI,1,100,164089
1707151604.040018,497005.000,12698,3,PI,1,100,164124
1707151604.080265,497044.000,12698,3,PI,1,100,164258
1707151604.120167,497082.667,12713,3,PI,1,100,164448
1707151604.160070,497121.333,12713,3,PI,1,100,164665
1707151604.199972,497160.000,12713,3,PI,1,100,164891
1707151604.238671,497197.500,12730,2,PI,1,100,165104
1707151604.277369,497235.000,12730,2,PI,1,100,165292
1707151604.316928,497273.333,12747,3,PI,1,100,165443
1707151604.356486,497311.667,12747,3,PI,1,100,165584
1707151604.396044,497350.000,12747,3,PI,1,100,165692
1707151604.436291,497389.000,12764,2,PI,1,100,165816
1707151604.476537,497428.000,12764,2,PI,1,100,165880
1707151604.517472,497467.667,12779,3,PI,1,100,165068
1707151604.558406,497507.333,12779,3,PI,1,100,163470
1707151604.599340,497547.000,12779,3,PI,1,100,163243
1707151604.639587,497586.000,12796,3,PI,1,100,163311
1707151604.679833,497625.000,12796,3,PI,1,100,163352
1707151604.720080,497664.000,12796,3,PI,1,100,163438
1707151604.759810,497702.500,12812,2,PI,1,100,163757
1707151604.799541,497741.000,12812,2,PI,1,100,164126
1707151604.839099,497779.333,12831,3,PI,1,100,164207
1707151604.878658,497817.667,12831,3,PI,1,100,164183
1707151604.918216,497856.000,12831,3,PI,1,100,164228
1707151604.958462,497895.000,12847,2,PI,1,100,164376
1707151604.998709,497934.000,12847,2,PI,1,100,164581
1707151605.038955,497973.000,12863,5,PI,1,100,164821
1707151605.079202,498012.000,12863,5,PI,1,100,165053
1707151605.119448,498051.000,12863,5,PI,1,100,165226
1707151605.159694,498090.000,12863,5,PI,1,100,165387
1707151605.199941,498129.000,12863,5,PI,1,100,165517
1707151605.240187,498168.000,12879,3,PI,1,100,165638
1707151605.280434,498207.000,12879,3,PI,1,100,165766
1707151605.320680,498246.000,12879,3,PI,1,100,165877
1707151605.360583,498284.667,12897,3,PI,1,100,165909
1707151605.400485,498323.333,12897,3,PI,1,100,165030
1707151605.440387,498362.000,12897,3,PI,1,100,163545
1707151605.479086,498399.500,12914,2,PI,1,100,163376
1707151605.517784,498437.000,12914,2,PI,1,100,163463
1707151605.558375,498476.333,12930,3,PI,1,100,163565
1707151605.598965,498515.667,12930,3,PI,1,100,163777
1707151605.639556,498555.000,12930,3,PI,1,100,164165
1707151605.679802,498594.000,12949,3,PI,1,100,164407
1707151605.720048,498633.000,12949,3,PI,1,100,164411
1707151605.760295,498672.000,12949,3,PI,1,100,164403
1707151605.800541,498711.000,12966,2,PI,1,100,164506
1707151605.840788,498750.000,12966,2,PI,1,100,164688
1707151605.880690,498788.667,12982,3,PI,1,100,164882
1707151605.920593,498827.333,12982,3,PI,1,100,165073
1707151605.960495,498866.000,12982,3,PI,1,100,165289
1707151606.000225,498904.500,12998,2,PI,1,100,165478
1707151606.039956,498943.000,12998,2,PI,1,100,165613
1707151606.079428,498981.250,13014,4,PI,1,100,165728
1707151606.118901,499019.500,13014,4,PI,1,100,165840
1707151606.158373,499057.750,13014,4,PI,1,100,165943
1707151606.197846,499096.000,13014,4,PI,1,100,166026
1707151606.238780,499135.667,13031,3,PI,1,100,165704
1707151606.279714,499175.333,13031,3,PI,1,100,163936
1707151606.320649,499215.000,13031,3,PI,1,100,163367
1707151606.360379,499253.500,13048,2,PI,1,100,163384
1707151606.400110,499292.000,13048,2,PI,1,100,163444
1707151606.440356,499331.000,13065,3,PI,1,100,163509
1707151606.480603,499370.000,13065,3,PI,1,100,163755
1707151606.520849,499409.000,13065,3,PI,1,100,164147
1707151606.566771,499453.500,13083,2,PI,1,100,164306
1707151606.612693,499498.000,13083,2,PI,1,100,164297
1707151606.652596,499536.667,13099,3,PI,1,100,164344
1707151606.692498,499575.333,13099,3,PI,1,100,164458
1707151606.732401,499614.000,13099,3,PI,1,100,164633
1707151606.772389,499652.750,13120,4,PI,1,100,164847
1707151606.812378,499691.500,13120,4,PI,1,100,165066
1707151606.852366,499730.250,13120,4,PI,1,100,165262
1707151606.892354,499769.000,13120,4,PI,1,100,165444
1707151606.931569,499807.000,13136,3,PI,1,100,165588
1707151606.970783,499845.000,13136,3,PI,1,100,165685
1707151607.009998,499883.000,13136,3,PI,1,100,165814
1707151607.049900,499921.667,13152,3,PI,1,100,165926
1707151607.089803,499960.333,13152,3,PI,1,100,165985
1707151607.129705,499999.000,13152,3,PI,1,100,165237
1707151607.169608,500037.667,13168,3,PI,1,100,163590
1707151607.209510,500076.333,13168,3,PI,1,100,163312
1707151607.249412,500115.000,13168,3,PI,1,100,163337
1707151607.289659,500154.000,13185,3,PI,1,100,163412
1707151607.329905,500193.000,13185,3,PI,1,100,163506
1707151607.370152,500232.000,13185,3,PI,1,100,163795
1707151607.410398,500271.000,13202,2,PI,1,100,164150
1707151607.450644,500310.000,13202,2,PI,1,100,164263
1707151607.490203,500348.333,13221,3,PI,1,100,164241
1707151607.529761,500386.667,13221,3,PI,1,100,164284
1707151607.569320,500425.000,13221,3,PI,1,100,164427
1707151607.608534,500463.000,13236,3,PI,1,100,164618
1707151607.647749,500501.000,13236,3,PI,1,100,164831
