LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1707151644.970627,536668,19104,1,SR,1,100,0.200000
1707151659.344790,550597,21346,1,SR,1,100,0.266667
1707151883.479163,767790,56124,1,SR,1,100,0.266667
