LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1707151738.898546,627687.000,33737,2,AK,1,100,RD
1707151738.904222,627692.500,33739,2,AK,1,100,32900
1707151738.909897,627698.000,33739,2,AK,1,100,RD
1707151738.922797,627710.500,33742,2,AK,1,100,33740
1707151738.935696,627723.000,33742,2,AK,1,100,RD
1707151741.554810,630261.000,34547,2,AK,1,100,33740
1707151744.173923,632799.000,34547,2,AK,1,100,RD
1707151744.185790,632810.500,34550,2,AK,1,100,34548
1707151744.197658,632822.000,34550,2,AK,1,100,RD
1707151746.821931,635365.000,35341,2,AK,1,100,34548
1707151749.446204,637908.000,35341,2,AK,1,100,RD
1707151749.463747,637925.000,35344,2,AK,1,100,35342
1707151749.481290,637942.000,35344,2,AK,1,100,RD
1707151752.130846,640509.500,36086,2,AK,1,100,35342
1707151754.780402,643077.000,36086,2,AK,1,100,RD
1707151754.791754,643088.000,36089,2,AK,1,100,36087
1707151754.803105,643099.000,36089,2,AK,1,100,RD
1707151757.427378,645642.000,36911,2,AK,1,100,36087
1707151760.051651,648185.000,36911,2,AK,1,100,RD
1707151760.069194,648202.000,36914,2,AK,1,100,36912
1707151760.086738,648219.000,36914,2,AK,1,100,RD
1707151762.711527,650762.500,37749,2,AK,1,100,36912
1707151765.336316,653306.000,37749,2,AK,1,100,RD
1707151765.348183,653317.500,37752,2,AK,1,100,37750
1707151765.360051,653329.000,37752,2,AK,1,100,RD
1707151767.992579,655880.000,38585,2,AK,1,100,37750
1707151770.625108,658431.000,38585,2,AK,1,100,RD
1707151770.642651,658448.000,38588,2,AK,1,100,38586
1707151770.660194,658465.000,38588,2,AK,1,100,RD
1707151773.294787,661018.000,39426,2,AK,1,100,39424
1707151775.929379,663571.000,39426,2,AK,1,100,RD
1707151778.555200,666115.500,40215,2,AK,1,100,39424
1707151781.181021,668660.000,40215,2,AK,1,100,RD
1707151783.820258,671217.500,40973,2,AK,1,100,40216
1707151786.459494,673775.000,40973,2,AK,1,100,RD
1707151789.112662,676346.000,41809,2,AK,1,100,40974
1707151791.765830,678917.000,41809,2,AK,1,100,RD
1707151791.772021,678923.000,41811,2,AK,1,100,40974
1707151791.778213,678929.000,41811,2,AK,1,100,RD
1707151791.802464,678952.500,41814,2,AK,1,100,41812
1707151791.826715,678976.000,41814,2,AK,1,100,RD
1707151794.432929,681501.500,42635,2,AK,1,100,41812
1707151797.039142,684027.000,42635,2,AK,1,100,RD
1707151797.053590,684041.000,42638,2,AK,1,100,42636
1707151797.068037,684055.000,42638,2,AK,1,100,RD
1707151799.696438,686602.000,43473,2,AK,1,100,42636
1707151802.324839,689149.000,43473,2,AK,1,100,RD
1707151802.336706,689160.500,43476,2,AK,1,100,43474
1707151802.348574,689172.000,43476,2,AK,1,100,RD
1707151804.980586,691722.500,44312,2,AK,1,100,43474
1707151807.612599,694273.000,44312,2,AK,1,100,RD
1707151807.643558,694303.000,44315,2,AK,1,100,44313
1707151807.674517,694333.000,44315,2,AK,1,100,RD
1707151810.295694,696873.000,45138,2,AK,1,100,44313
1707151812.916871,699413.000,45138,2,AK,1,100,RD
1707151812.931318,699427.000,45141,2,AK,1,100,45139
1707151812.945766,699441.000,45141,2,AK,1,100,RD
1707151815.570555,701984.500,45949,2,AK,1,100,45139
1707151818.195343,704528.000,45949,2,AK,1,100,RD
1707151818.207727,704540.000,45952,2,AK,1,100,45950
1707151818.220111,704552.000,45952,2,AK,1,100,RD
1707151820.843351,707094.000,46713,2,AK,1,100,45950
1707151823.466592,709636.000,46713,2,AK,1,100,RD
1707151823.490328,709659.000,46716,2,AK,1,100,46714
1707151823.514063,709682.000,46716,2,AK,1,100,RD
1707151826.132660,712219.500,47538,2,AK,1,100,46714
1707151828.751257,714757.000,47538,2,AK,1,100,RD
1707151828.764156,714769.500,47541,2,AK,1,100,47539
1707151828.777056,714782.000,47541,2,AK,1,100,RD
1707151831.412164,717335.500,48378,2,AK,1,100,47539
1707151834.047273,719889.000,48378,2,AK,1,100,RD
1707151834.060172,719901.500,48381,2,AK,1,100,48379
1707151834.073072,719914.000,48381,2,AK,1,100,RD
1707151836.709212,722468.500,49215,2,AK,1,100,48379
