LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1707151602.705695,495712.000,12495,7,MZ,1,100,-8
1707151602.705695,495712.000,12495,7,MZ,1,100,-8
1707151602.705695,495712.000,12495,7,MZ,1,100,-8
1707151602.705695,495712.000,12495,7,MZ,1,100,-6
1707151602.705695,495712.000,12495,7,MZ,1,100,-7
1707151602.705695,495712.000,12495,7,MZ,1,100,-7
1707151602.705695,495712.000,12495,7,MZ,1,100,-9
1707151602.745941,495751.000,12512,3,MZ,1,100,-8
1707151602.786188,495790.000,12512,3,MZ,1,100,-8
1707151602.826434,495829.000,12512,3,MZ,1,100,-8
1707151602.866681,495868.000,12528,2,MZ,1,100,-8
1707151602.906927,495907.000,12528,2,MZ,1,100,-8
1707151602.946485,495945.333,12544,3,MZ,1,100,-8
1707151602.986044,495983.667,12544,3,MZ,1,100,-8
1707151603.025602,496022.000,12544,3,MZ,1,100,-7
1707151603.065161,496060.333,12560,3,MZ,1,100,-7
1707151603.104719,496098.667,12560,3,MZ,1,100,-7
1707151603.144278,496137.000,12560,3,MZ,1,100,-8
1707151603.183492,496175.000,12579,2,MZ,1,100,-8
1707151603.222707,496213.000,12579,2,MZ,1,100,-8
1707151603.263297,496252.333,12595,3,MZ,1,100,-9
1707151603.303887,496291.667,12595,3,MZ,1,100,-8
1707151603.344478,496331.000,12595,3,MZ,1,100,-7
1707151603.384724,496370.000,12613,3,MZ,1,100,-8
1707151603.424971,496409.000,12613,3,MZ,1,100,-8
1707151603.465217,496448.000,12613,3,MZ,1,100,-8
1707151603.505463,496487.000,12627,2,MZ,1,100,-9
1707151603.545710,496526.000,12627,2,MZ,1,100,-8
1707151603.585268,496564.333,12644,3,MZ,1,100,-8
1707151603.624827,496602.667,12644,3,MZ,1,100,-8
1707151603.664385,496641.000,12644,3,MZ,1,100,-8
1707151603.704116,496679.500,12661,2,MZ,1,100,-7
1707151603.743846,496718.000,12661,2,MZ,1,100,-8
1707151603.783749,496756.667,12678,3,MZ,1,100,-8
1707151603.823651,496795.333,12678,3,MZ,1,100,-8
1707151603.863553,496834.000,12678,3,MZ,1,100,-9
1707151603.904832,496874.000,12693,2,MZ,1,100,-8
1707151603.946110,496914.000,12693,2,MZ,1,100,-9
1707151603.986357,496953.000,12712,3,MZ,1,100,-9
1707151604.026603,496992.000,12712,3,MZ,1,100,-7
1707151604.066849,497031.000,12712,3,MZ,1,100,-7
1707151604.106752,497069.667,12728,3,MZ,1,100,-7
1707151604.146654,497108.333,12728,3,MZ,1,100,-7
1707151604.186557,497147.000,12728,3,MZ,1,100,-8
1707151604.225771,497185.000,12745,3,MZ,1,100,-7
1707151604.264986,497223.000,12745,3,MZ,1,100,-7
1707151604.304200,497261.000,12745,3,MZ,1,100,-8
1707151604.344446,497300.000,12762,2,MZ,1,100,-8
1707151604.384693,497339.000,12762,2,MZ,1,100,-9
1707151604.424595,497377.667,12778,3,MZ,1,100,-8
1707151604.464498,497416.333,12778,3,MZ,1,100,-8
1707151604.504400,497455.000,12778,3,MZ,1,100,-8
1707151604.545163,497494.500,12793,2,MZ,1,100,-7
1707151604.585925,497534.000,12793,2,MZ,1,100,-8
1707151604.626171,497573.000,12811,3,MZ,1,100,-8
1707151604.666418,497612.000,12811,3,MZ,1,100,-8
1707151604.706664,497651.000,12811,3,MZ,1,100,-8
1707151604.742095,497685.333,12827,3,MZ,1,100,-8
1707151604.777525,497719.667,12827,3,MZ,1,100,-6
1707151604.812956,497754.000,12827,3,MZ,1,100,-8
1707151604.852171,497792.000,12846,3,MZ,1,100,-8
1707151604.891385,497830.000,12846,3,MZ,1,100,-8
1707151604.930599,497868.000,12846,3,MZ,1,100,-8
1707151604.971878,497908.000,12860,2,MZ,1,100,-8
1707151605.013156,497948.000,12860,2,MZ,1,100,-8
1707151605.053196,497986.800,12878,5,MZ,1,100,-8
1707151605.093236,498025.600,12878,5,MZ,1,100,-9
1707151605.133276,498064.400,12878,5,MZ,1,100,-9
1707151605.173316,498103.200,12878,5,MZ,1,100,-8
1707151605.213356,498142.000,12878,5,MZ,1,100,-8
1707151605.253259,498180.667,12894,3,MZ,1,100,-8
1707151605.293161,498219.333,12894,3,MZ,1,100,-8
1707151605.333064,498258.000,12894,3,MZ,1,100,-7
1707151605.373310,498297.000,12911,2,MZ,1,100,-7
1707151605.413557,498336.000,12911,2,MZ,1,100,-8
1707151605.452771,498374.000,12928,3,MZ,1,100,-8
1707151605.491985,498412.000,12928,3,MZ,1,100,-8
1707151605.531200,498450.000,12928,3,MZ,1,100,-7
1707151605.572134,498489.667,12945,3,MZ,1,100,-8
1707151605.613069,498529.333,12945,3,MZ,1,100,-8
1707151605.654003,498569.000,12945,3,MZ,1,100,-8
1707151605.693734,498607.500,12964,2,MZ,1,100,-7
1707151605.733464,498646.000,12964,2,MZ,1,100,-9
1707151605.773710,498685.000,12981,3,MZ,1,100,-8
1707151605.813957,498724.000,12981,3,MZ,1,100,-8
1707151605.854203,498763.000,12981,3,MZ,1,100,-8
1707151605.893934,498801.500,12995,2,MZ,1,100,-8
1707151605.933664,498840.000,12995,2,MZ,1,100,-8
1707151605.973567,498878.667,13013,3,MZ,1,100,-9
1707151606.013469,498917.333,13013,3,MZ,1,100,-8
1707151606.053371,498956.000,13013,3,MZ,1,100,-7
