eid,utc,trecon,dv,V1,sid,t,filter
blue8,1707824237.33882,0,HR,72.0155665331147,blue8_2024-02-13_11-37-17,2024-02-13T11:37:17.338823Z,1
blue8,1707824238.3296,0,HR,71.7999510644527,blue8_2024-02-13_11-37-17,2024-02-13T11:37:18.329600Z,1
blue8,1707824239.33038,0,HR,71.3725704033547,blue8_2024-02-13_11-37-17,2024-02-13T11:37:19.330384Z,1
blue8,1707824240.33117,0,HR,70.9502475015597,blue8_2024-02-13_11-37-17,2024-02-13T11:37:20.331169Z,1
blue8,1707824241.33195,0,HR,71.1842522756414,blue8_2024-02-13_11-37-17,2024-02-13T11:37:21.331954Z,1
blue8,1707824242.33274,0,HR,69.712743184672,blue8_2024-02-13_11-37-17,2024-02-13T11:37:22.332738Z,1
blue8,1707824243.33352,0,HR,69.3097793512346,blue8_2024-02-13_11-37-17,2024-02-13T11:37:23.333523Z,1
blue8,1707824244.33431,0,HR,69.2097652396167,blue8_2024-02-13_11-37-17,2024-02-13T11:37:24.334308Z,1
blue8,1707824245.33509,0,HR,69.1100393531043,blue8_2024-02-13_11-37-17,2024-02-13T11:37:25.335092Z,1
blue8,1707824246.33588,0,HR,69.2097652396167,blue8_2024-02-13_11-37-17,2024-02-13T11:37:26.335877Z,1
blue8,1707824247.33666,0,HR,70.8105816600212,blue8_2024-02-13_11-37-17,2024-02-13T11:37:27.336662Z,1
blue8,1707824248.33745,0,HR,69.8029278459718,blue8_2024-02-13_11-37-17,2024-02-13T11:37:28.337446Z,1
blue8,1707824249.33823,0,HR,70.3260517757396,blue8_2024-02-13_11-37-17,2024-02-13T11:37:29.338231Z,1
blue8,1707824250.32901,0,HR,70.5328931044917,blue8_2024-02-13_11-37-17,2024-02-13T11:37:30.329008Z,1
blue8,1707824251.32979,0,HR,70.4293205742355,blue8_2024-02-13_11-37-17,2024-02-13T11:37:31.329792Z,1
blue8,1707824252.33058,0,HR,70.1204200454011,blue8_2024-02-13_11-37-17,2024-02-13T11:37:32.330577Z,1
blue8,1707824253.33136,0,HR,71.3725704033547,blue8_2024-02-13_11-37-17,2024-02-13T11:37:33.331362Z,1
blue8,1707824254.33215,0,HR,69.8933461462904,blue8_2024-02-13_11-37-17,2024-02-13T11:37:34.332146Z,1
blue8,1707824255.33293,0,HR,69.1100393531043,blue8_2024-02-13_11-37-17,2024-02-13T11:37:35.332931Z,1
blue8,1707824256.33372,0,HR,68.8125786385285,blue8_2024-02-13_11-37-17,2024-02-13T11:37:36.333715Z,1
blue8,1707824257.3345,0,HR,68.8125786385285,blue8_2024-02-13_11-37-17,2024-02-13T11:37:37.334500Z,1
blue8,1707824258.33528,0,HR,68.9114472859977,blue8_2024-02-13_11-37-17,2024-02-13T11:37:38.335285Z,1
blue8,1707824259.33607,0,HR,69.1100393531043,blue8_2024-02-13_11-37-17,2024-02-13T11:37:39.336069Z,1
blue8,1707824260.33685,0,HR,70.2573739908023,blue8_2024-02-13_11-37-17,2024-02-13T11:37:40.336854Z,1
blue8,1707824261.33764,0,HR,69.0879170613779,blue8_2024-02-13_11-37-17,2024-02-13T11:37:41.337638Z,1
blue8,1707824262.33842,0,HR,68.3224605570575,blue8_2024-02-13_11-37-17,2024-02-13T11:37:42.338423Z,1
blue8,1707824263.3292,0,HR,68.7533935078188,blue8_2024-02-13_11-37-17,2024-02-13T11:37:43.329200Z,1
blue8,1707824264.32998,0,HR,68.6156900015084,blue8_2024-02-13_11-37-17,2024-02-13T11:37:44.329984Z,1
blue8,1707824265.33077,0,HR,69.3097793512346,blue8_2024-02-13_11-37-17,2024-02-13T11:37:45.330769Z,1
blue8,1707824266.33155,0,HR,70.8105816600212,blue8_2024-02-13_11-37-17,2024-02-13T11:37:46.331554Z,1
blue8,1707824267.33234,0,HR,70.6252136452044,blue8_2024-02-13_11-37-17,2024-02-13T11:37:47.332338Z,1
