tid,nid,eid,utc,trecon,dv,raw,sid,t,filter,pid,category,condition,item,stim,tt,norm
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.00171,0,ACC,0.993070994440982,red4_2024-02-13_11-27-08,1707823684.00171,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.585819959640503,-1.01003109606312
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.04142,0,ACC,0.992808642186398,red4_2024-02-13_11-27-08,1707823684.04142,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.625530004501343,-1.09549502644307
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.04142,0,EA,3.977582,red4_2024-02-13_11-27-08,1707823684.04142,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.625531911849976,-2.34043918845659
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.0813,0,ACC,0.994085006425507,red4_2024-02-13_11-27-08,1707823684.0813,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.665410041809082,-0.679706320363044
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.10743,0,EA,3.975305,red4_2024-02-13_11-27-08,1707823684.10743,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.691540956497192,-2.36550743555799
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.12118,0,ACC,0.995503892508713,red4_2024-02-13_11-27-08,1707823684.12118,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.705290079116821,-0.217489665795085
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.16106,0,ACC,0.997752474314146,red4_2024-02-13_11-27-08,1707823684.16106,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.745170116424561,0.515008856765167
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.17344,0,EA,3.977582,red4_2024-02-13_11-27-08,1707823684.17344,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.757549047470093,-2.34043918845659
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.20094,0,ACC,0.996321735183972,red4_2024-02-13_11-27-08,1707823684.20094,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.785049915313721,0.0489309509094167
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.24082,0,ACC,0.992611202838251,red4_2024-02-13_11-27-08,1707823684.24082,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.82492995262146,-1.15981291359464
10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,red4,1707823684.24151,0,EA,3.979878,red4_2024-02-13_11-27-08,1707823684.24151,1,10370290,narrative_order,end,benz,LATE_MB.mp4,0.82561993598938,-2.31516176406273
