pid,eid,exp_begin,exp_ver,exp_end,age,sex,stim,condition,category,item,starttime,stoptime,watched,cluster.empathy.empathyslider1,cluster.empathy.empathyslider2,cluster.empathy.rightslider,cluster.familiarity.slider1,cluster.familiarity.slider2,narrative.familiarity.scenefam,narrative.familiarity.showfam,narrative.likeability.emotion,narrative.likeability.like,narrative.likeability.shop,day,tid,nid,mean_norm_ACC,mean_norm_EA,mean_norm_HR,mean_raw_ACC,mean_raw_EA,mean_raw_HR,sd_norm_ACC,sd_norm_EA,sd_norm_HR,sd_raw_ACC,sd_raw_EA,sd_raw_HR,min_norm_ACC,min_norm_EA,min_norm_HR,min_raw_ACC,min_raw_EA,min_raw_HR,max_norm_ACC,max_norm_EA,max_norm_HR,max_raw_ACC,max_raw_EA,max_raw_HR,range_norm_ACC,range_norm_EA,range_norm_HR,range_raw_ACC,range_raw_EA,range_raw_HR,filter_prop_ACC,filter_prop_EA,filter_prop_HR
10370290,red4,13/02/2024 11:27,3,13/02/2024 11:31:27,48,male,LATE_MB.mp4,end,narrative_order,benz,1707823683.4031,1707823742.146,58.7428998947144,,,,,,0,61,35,39,35,02-13,10370290-narrative_order-end-benz-LATE_MB.mp4,10370290,0.234216821114506,-0.190185082712489,-0.393405409729335,0.996890515084156,4.17289396493213,67.309108060091,0.861422596109198,1.12302072660847,1.09730908017932,0.00264434550615868,0.102006262509846,2.67990262296036,-5.96453176418457,-2.41589714437799,-2.157172933374,0.977861953447418,3.970728,63.0015475939594,5.55985941840701,2.44019773735728,3.00213171060103,1.01323886621073,4.411817,75.6018571127513,11.5243911825916,4.85609488173527,5.15930464397503,0.0353769127633119,0.441089,12.6003095187919,1,1,1
10370290,red4,13/02/2024 11:27,3,13/02/2024 11:31:27,48,male,pizza.mp4,man,cluster,pizza,1707823778.4006,1707823872.624,94.2233998775482,31,66,80,12,51,,,,,,02-13,10370290-cluster-man-pizza-pizza.mp4,10370290,-0.146459632443757,0.118899302063541,0.246924672064154,0.995721936416945,4.20096872984441,68.8729539233535,1.05162023918116,0.894829689090374,0.850681520678617,0.00322820328399151,0.0812792052757715,2.07757657322765,-6.51417932778287,-1.28185896731416,-1.18716742810349,0.976174676991777,4.073735,65.3705431165661,12.7014868617272,2.2240845662547,2.28222873702312,1.03516182309821,4.392187,73.843674389199,19.21566618951,3.50594353356886,3.46939616512661,0.0589871461064331,0.318452,8.47313127263288,1,1,1
10370446,green6,13/02/2024 11:32,3,13/02/2024 11:36:37,46,female,LATE_MB.mp4,end,narrative_order,benz,1707823998.0297,1707824056.763,58.7332999706268,,,,,,1,75,67,69,52,02-13,10370446-narrative_order-end-benz-LATE_MB.mp4,10370446,-0.0975633450501031,1.09989822357062,0.103689673879602,1.03561065813581,4.40784040770102,70.7788735076401,1.296799301307,0.780007150109487,1.26569431254748,0.00523127328288119,0.16674479037817,2.81082618338623,-7.92339761406889,0.00890938263432807,-2.92345837855005,1.00404133381052,4.174616,64.0562494724336,7.73801350851171,2.97055925350352,2.55202362753377,1.06721928393372,4.807738,76.2160798807599,15.6614111225806,2.96164987086919,5.47548200608381,0.0631779501231999,0.633121999999999,12.1598304083263,1,1,1
10370446,green6,13/02/2024 11:32,3,13/02/2024 11:36:37,46,female,pizza.mp4,man,cluster,pizza,1707824092.2182,1707824186.441,94.2228000164032,78,26,25,75,63,,,,,,02-13,10370446-cluster-man-pizza-pizza.mp4,10370446,0.0608331312517106,-0.685398822450855,-0.065081816584001,1.03624962767701,4.02619136556104,70.4040694813429,0.752223891396873,0.141827218673814,0.790076536575297,0.00303446241977717,0.030318888543989,1.75458465276279,-6.77514135610671,-1.08255001400732,-1.43264194952602,1.00867338618603,3.941291,67.3670219170762,5.20307647697782,-0.201172869602583,2.62488889080854,1.0569933774627,4.129706,76.3778974601246,11.9782178330845,0.88137714440474,4.05753084033456,0.0483199912766701,0.188415,9.01087554304839,1,1,1
10370528,blue8,13/02/2024 11:37,3,13/02/2024 11:41:26,50,male,LATE_MB.mp4,end,narrative_order,benz,1707824275.784,1707824339.69,63.9060001373291,,,,,,0,75,29,43,26,02-13,10370528-narrative_order-end-benz-LATE_MB.mp4,10370528,-0.344109154364997,0.581671678773634,-0.156296509001798,1.0343065798034,4.25546092924037,68.8702958096636,0.953266526140423,1.27793447936398,1.18770264912043,0.00258276571307965,0.226151512657926,2.39405788104641,-5.6740656308658,-1.506667407814,-1.90579435635385,1.01986567743012,3.885895,65.343824674461,4.8714030862534,3.96970433592604,1.89962633193156,1.04843740871833,4.855029,73.0144292624305,10.5454687171192,5.47637174374004,3.80542068828541,0.0285717312882099,0.969134,7.67060458796954,1,1,1
10370528,blue8,13/02/2024 11:37,3,13/02/2024 11:41:26,50,male,pizza.mp4,man,cluster,pizza,1707824380.039,1707824474.491,94.4519999027252,15,85,75,25,41,,,,,,02-13,10370528-cluster-man-pizza-pizza.mp4,10370528,0.232830794522036,-0.393375428079849,0.105294490274902,1.03586973205687,4.08291031597467,69.3975860315832,0.963216562591828,0.434571161842508,0.841181689394789,0.00260972418931465,0.0769045105169305,1.6955739337442,-7.01874764283697,-0.88446468215225,-2.03775104134798,1.01622241659983,3.996004,65.0778389566545,9.25059175946004,1.05807879737359,1.9979242413893,1.06030231537991,4.339769,73.2125688262363,16.269339402297,1.94254347952584,4.03567528273728,0.0440798987800801,0.343765,8.1347298695818,1,1,1
