LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1707824005.501438,397634.000,61113,1,SF,1,100,14.4350
1707824005.833389,397956.000,61164,1,SF,1,100,14.2680
1707824006.164308,398277.000,61203,1,SF,1,100,14.1030
1707824006.561206,398662.000,61270,1,SF,1,100,13.9398
1707824006.827179,398920.000,61304,1,SF,1,100,13.7786
1707824007.157067,399240.000,61355,1,SF,1,100,13.6192
1707824007.560150,399631.000,61422,1,SF,1,100,13.4616
1707824007.891070,399952.000,61470,1,SF,1,100,13.3059
1707824008.159104,400212.000,61521,1,SF,1,100,13.1520
1707824008.492086,400535.000,61573,1,SF,1,100,12.9998
1707824008.825067,400858.000,61622,1,SF,1,100,12.8495
1707824009.226088,401247.000,61689,1,SF,1,100,12.7008
1707824009.491030,401504.000,61739,1,SF,1,100,12.5539
1707824009.822980,401826.000,61788,1,SF,1,100,12.4087
1707824010.154931,402148.000,61838,1,SF,1,100,12.2651
1707824010.484819,402468.000,61889,1,SF,1,100,12.1232
1707824010.883779,402855.000,61956,1,SF,1,100,11.9830
1707824011.279645,403239.000,62006,1,SF,1,100,11.8444
1707824011.478609,403432.000,62040,1,SF,1,100,11.7074
1707824011.810560,403754.000,62090,1,SF,1,100,11.5719
1707824012.141479,404075.000,62139,1,SF,1,100,11.4381
1707824012.474461,404398.000,62189,1,SF,1,100,11.3057
1707824012.874451,404786.000,62256,1,SF,1,100,11.1750
1707824013.142485,405046.000,62305,1,SF,1,100,11.0457
1707824013.475467,405369.000,62359,1,SF,1,100,10.9179
1707824013.809479,405693.000,62408,1,SF,1,100,10.7916
1707824014.140398,406014.000,62456,1,SF,1,100,10.6668
1707824014.540388,406402.000,62523,1,SF,1,100,10.5434
1707824014.806361,406660.000,62574,1,SF,1,100,10.4214
1707824015.139343,406983.000,62622,1,SF,1,100,10.3009
1707824015.470262,407304.000,62673,1,SF,1,100,10.1817
1707824015.801182,407625.000,62723,1,SF,1,100,10.0639
1707824016.199110,408011.000,62790,1,SF,1,100,9.9475
1707824016.597038,408397.000,62844,1,SF,1,100,9.8324
1707824016.794971,408589.000,62878,1,SF,1,100,9.7187
1707824017.126922,408911.000,62928,1,SF,1,100,9.6063
1707824017.462996,409237.000,62977,1,SF,1,100,9.4951
1707824017.858863,409621.000,63042,1,SF,1,100,9.3853
1707824018.190813,409943.000,63096,1,SF,1,100,9.2767
1707824018.459878,410204.000,63128,1,SF,1,100,9.1694
1707824018.790798,410525.000,63177,1,SF,1,100,9.0633
1707824019.125841,410850.000,63229,1,SF,1,100,8.9585
1707824019.456761,411171.000,63278,1,SF,1,100,8.8549
1707824019.793866,411498.000,63328,1,SF,1,100,8.7524
1707824020.124785,411819.000,63379,1,SF,1,100,8.6512
1707824020.458798,412143.000,63429,1,SF,1,100,8.5511
1707824020.856726,412529.000,63496,1,SF,1,100,8.4522
1707824021.121668,412786.000,63530,1,SF,1,100,8.3544
1707824021.523720,413176.000,63595,1,SF,1,100,8.2578
1707824021.857732,413500.000,63636,1,SF,1,100,8.1622
1707824022.123705,413758.000,63670,1,SF,1,100,8.0678
1707824022.456686,414081.000,63720,1,SF,1,100,7.9745
1707824022.789668,414404.000,63771,1,SF,1,100,7.8822
1707824023.124711,414729.000,63822,1,SF,1,100,7.7910
1707824023.456661,415051.000,63844,1,SF,1,100,7.7009
1707824023.790674,415375.000,63862,1,SF,1,100,7.6118
1707824024.122624,415697.000,63910,1,SF,1,100,7.5238
1707824024.456636,416021.000,63963,1,SF,1,100,7.4367
1707824024.857657,416410.000,64028,1,SF,1,100,7.3507
1707824025.188577,416731.000,64078,1,SF,1,100,7.2657
1707824025.454550,416989.000,64129,1,SF,1,100,7.1816
1707824025.785469,417310.000,64177,1,SF,1,100,7.0986
1707824026.116389,417631.000,64228,1,SF,1,100,7.0164
1707824026.518441,418021.000,64293,1,SF,1,100,6.9353
1707824026.848329,418341.000,64343,1,SF,1,100,6.8550
1707824027.184403,418667.000,64383,1,SF,1,100,6.7757
1707824027.447283,418922.000,64433,1,SF,1,100,6.6974
1707824027.783358,419248.000,64484,1,SF,1,100,6.6199
1707824028.114277,419569.000,64532,1,SF,1,100,6.5433
1707824028.450351,419895.000,64569,1,SF,1,100,6.4676
1707824028.780240,420215.000,64619,1,SF,1,100,6.3928
1707824029.178168,420601.000,64684,1,SF,1,100,6.3188
1707824029.509088,420922.000,64737,1,SF,1,100,6.2457
1707824029.775061,421180.000,64785,1,SF,1,100,6.1735
1707824030.104949,421500.000,64836,1,SF,1,100,6.1021
1707824030.436900,421822.000,64886,1,SF,1,100,6.0315
1707824030.767819,422143.000,64935,1,SF,1,100,5.9617
1707824031.098739,422464.000,64985,1,SF,1,100,5.8928
1707824031.495636,422849.000,65052,1,SF,1,100,5.8246
1707824031.831710,423175.000,65102,1,SF,1,100,5.7572
1707824032.162630,423496.000,65153,1,SF,1,100,5.6906
1707824032.431695,423757.000,65191,1,SF,1,100,5.6248
1707824032.762615,424078.000,65239,1,SF,1,100,5.5597
1707824033.164667,424468.000,65308,1,SF,1,100,5.4954
1707824033.498679,424792.000,65359,1,SF,1,100,5.4318
1707824033.764652,425050.000,65407,1,SF,1,100,5.3690
1707824034.096602,425372.000,65458,1,SF,1,100,5.3069
1707824034.429584,425695.000,65508,1,SF,1,100,5.2455
1707824034.826481,426080.000,39,1,SF,1,100,5.1848
1707824035.158432,426402.000,88,1,SF,1,100,5.1248
1707824035.422343,426658.000,138,1,SF,1,100,5.0655
1707824035.755324,426981.000,189,1,SF,1,100,5.0069
1707824036.086244,427302.000,237,1,SF,1,100,4.9490
1707824036.488295,427692.000,305,1,SF,1,100,4.8918
1707824036.818184,428012.000,355,1,SF,1,100,4.8352
1707824037.152196,428336.000,403,1,SF,1,100,4.7793
1707824037.417138,428593.000,456,1,SF,1,100,4.7240
1707824037.751151,428917.000,509,1,SF,1,100,4.6693
1707824038.084132,429240.000,560,1,SF,1,100,4.6153
1707824038.483091,429627.000,627,1,SF,1,100,4.5619
1707824038.818134,429952.000,677,1,SF,1,100,4.5091
1707824039.083076,430209.000,728,1,SF,1,100,4.4570
1707824039.417088,430533.000,776,1,SF,1,100,4.4054
1707824039.749039,430855.000,829,1,SF,1,100,4.3545
1707824040.144905,431239.000,894,1,SF,1,100,4.3041
1707824040.480979,431565.000,942,1,SF,1,100,4.2543
1707824040.743860,431820.000,995,1,SF,1,100,4.2051
1707824041.079934,432146.000,1043,1,SF,1,100,4.1564
