LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1707824136.533226,524738,15820,1,HR,1,100,70
1707824137.453822,525631,15970,1,HR,1,100,69
1707824138.254833,526408,16079,1,HR,1,100,70
1707824139.104296,527232,16211,1,HR,1,100,70
1707824139.937265,528040,16344,1,HR,1,100,71
1707824140.772296,528850,16478,1,HR,1,100,71
1707824141.607327,529660,16611,1,HR,1,100,71
1707824142.420708,530449,16743,1,HR,1,100,72
1707824143.304192,531306,16870,1,HR,1,100,71
1707824144.180458,532156,17022,1,HR,1,100,70
1707824145.013427,532964,17154,1,HR,1,100,71
1707824145.825778,533752,17271,1,HR,1,100,72
1707824146.706169,534606,17421,1,HR,1,100,71
1707824147.586559,535460,17554,1,HR,1,100,70
1707824148.425713,536274,17688,1,HR,1,100,71
1707824149.275177,537098,17826,1,HR,1,100,71
1707824150.115362,537913,17958,1,HR,1,100,71
1707824150.988536,538760,18108,1,HR,1,100,70
1707824151.789547,539537,18223,1,HR,1,100,71
1707824152.606022,540329,18358,1,HR,1,100,72
1707824153.441052,541139,18492,1,HR,1,100,72
1707824154.235878,541910,18614,1,HR,1,100,73
1707824155.069878,542719,18746,1,HR,1,100,72
1707824155.828622,543455,18863,1,HR,1,100,74
1707824156.681178,544282,18997,1,HR,1,100,73
1707824157.521363,545097,19112,1,HR,1,100,73
1707824158.400723,545950,19249,1,HR,1,100,72
1707824159.409976,546929,19390,1,HR,1,100,69
1707824160.329541,547821,19523,1,HR,1,100,68
1707824161.203746,548669,19659,1,HR,1,100,68
1707824162.086198,549525,19744,1,HR,1,100,68
1707824163.058339,550468,19896,1,HR,1,100,67
1707824163.934606,551318,20031,1,HR,1,100,67
1707824164.733555,552093,20152,1,HR,1,100,69
1707824165.529411,552865,20285,1,HR,1,100,70
1707824166.464439,553772,20435,1,HR,1,100,69
1707824167.224214,554509,20552,1,HR,1,100,71
1707824168.020071,555281,20672,1,HR,1,100,72
1707824168.812835,556050,20805,1,HR,1,100,73
1707824169.691163,556902,20928,1,HR,1,100,72
1707824170.503514,557690,21061,1,HR,1,100,72
1707824171.302463,558465,21194,1,HR,1,100,73
1707824172.139556,559277,21328,1,HR,1,100,73
1707824172.983865,560096,21462,1,HR,1,100,72
1707824173.872502,560958,21595,1,HR,1,100,71
1707824174.675575,561737,21728,1,HR,1,100,72
1707824175.512668,562549,21867,1,HR,1,100,72
1707824176.355946,563367,21999,1,HR,1,100,72
1707824177.241491,564226,22149,1,HR,1,100,71
1707824178.077552,565037,22283,1,HR,1,100,71
1707824179.032168,565963,22433,1,HR,1,100,69
1707824179.917713,566822,22567,1,HR,1,100,69
1707824180.725940,567606,22704,1,HR,1,100,70
1707824181.485715,568343,22823,1,HR,1,100,72
1707824182.244459,569079,22938,1,HR,1,100,74
1707824183.080520,569890,23073,1,HR,1,100,73
1707824183.888748,570674,23207,1,HR,1,100,74
1707824184.690790,571452,23339,1,HR,1,100,74
1707824185.487677,572225,23457,1,HR,1,100,74
1707824186.368067,573079,23611,1,HR,1,100,73
1707824187.260829,573945,23744,1,HR,1,100,72
1707824188.172146,574829,23896,1,HR,1,100,70
1707824189.051506,575682,24044,1,HR,1,100,70
1707824189.934989,576539,24177,1,HR,1,100,69
1707824190.866924,577443,24300,1,HR,1,100,69
1707824191.699893,578251,24435,1,HR,1,100,69
1707824192.533893,579060,24568,1,HR,1,100,70
1707824193.292637,579796,24671,1,HR,1,100,72
1707824194.179213,580656,24806,1,HR,1,100,71
1707824194.978162,581431,24939,1,HR,1,100,72
1707824195.813193,582241,25027,1,HR,1,100,72
1707824196.579153,582984,25116,1,HR,1,100,73
1707824197.461605,583840,25266,1,HR,1,100,72
1707824198.262616,584617,25385,1,HR,1,100,73
1707824199.062597,585393,25517,1,HR,1,100,73
1707824199.860515,586167,25650,1,HR,1,100,74
1707824200.698638,586980,25782,1,HR,1,100,73
1707824201.512020,587769,25906,1,HR,1,100,74
1707824202.306846,588540,26038,1,HR,1,100,74
1707824203.066621,589277,26157,1,HR,1,100,75
1707824203.863508,590050,26290,1,HR,1,100,75
1707824204.638746,590802,26408,1,HR,1,100,76
1707824205.633567,591767,26573,1,HR,1,100,72
1707824206.547977,592654,26723,1,HR,1,100,71
1707824209.433472,595453,27175,1,HR,1,100,60
1707824210.876735,596853,27389,1,HR,1,100,56
1707824211.521049,597478,27507,1,HR,1,100,64
1707824212.203506,598140,27595,1,HR,1,100,69
1707824212.925138,598840,27720,1,HR,1,100,73
1707824213.683882,599576,27855,1,HR,1,100,74
1707824214.445719,600315,27973,1,HR,1,100,75
1707824215.251884,601097,28105,1,HR,1,100,75
1707824216.049802,601871,28221,1,HR,1,100,75
1707824216.921946,602717,28372,1,HR,1,100,74
1707824217.802336,603571,28498,1,HR,1,100,72
1707824218.651799,604395,28630,1,HR,1,100,72
1707824219.491985,605210,28763,1,HR,1,100,72
