LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1707824116.815161,505611.000,12792,2,AK,1,100,12790
1707824116.834748,505630.000,12792,2,AK,1,100,RD
1707824119.427982,508145.500,13629,2,AK,1,100,12790
1707824122.021216,510661.000,13629,2,AK,1,100,RD
1707824122.036165,510675.500,13632,2,AK,1,100,13630
1707824122.051113,510690.000,13632,2,AK,1,100,RD
1707824124.684037,513244.000,14388,2,AK,1,100,13630
1707824127.316961,515798.000,14388,2,AK,1,100,RD
1707824127.336548,515817.000,14391,2,AK,1,100,14389
1707824127.356135,515836.000,14391,2,AK,1,100,RD
1707824129.973596,518375.000,15198,2,AK,1,100,14389
1707824132.591056,520914.000,15198,2,AK,1,100,RD
1707824135.239444,523483.000,16038,2,AK,1,100,15199
1707824137.887832,526052.000,16038,2,AK,1,100,RD
1707824137.894017,526058.000,16040,2,AK,1,100,15199
1707824137.900202,526064.000,16040,2,AK,1,100,RD
1707824140.601166,528684.000,16862,2,AK,1,100,16041
1707824143.302130,531304.000,16862,2,AK,1,100,RD
1707824143.308315,531310.000,16864,2,AK,1,100,16041
1707824143.314501,531316.000,16864,2,AK,1,100,RD
1707824143.328933,531330.000,16867,2,AK,1,100,16865
1707824143.343366,531344.000,16867,2,AK,1,100,RD
1707824145.967012,533889.000,17708,2,AK,1,100,17706
1707824148.590658,536434.000,17708,2,AK,1,100,RD
1707824151.222551,538987.000,18559,2,AK,1,100,17706
1707824153.854444,541540.000,18559,2,AK,1,100,RD
1707824156.495100,544101.500,19350,2,AK,1,100,18560
1707824159.135756,546663.000,19350,2,AK,1,100,RD
1707824159.141426,546668.500,19352,2,AK,1,100,18560
1707824159.147096,546674.000,19352,2,AK,1,100,RD
1707824161.788783,549236.500,20113,2,AK,1,100,19353
1707824164.430469,551799.000,20113,2,AK,1,100,RD
1707824164.436139,551804.500,20115,2,AK,1,100,19353
1707824164.441809,551810.000,20115,2,AK,1,100,RD
1707824167.065971,554355.500,20921,2,AK,1,100,20116
1707824169.690132,556901.000,20921,2,AK,1,100,RD
1707824169.696833,556907.500,20923,2,AK,1,100,20116
1707824169.703534,556914.000,20923,2,AK,1,100,RD
1707824169.715389,556925.500,20926,2,AK,1,100,20924
1707824169.727245,556937.000,20926,2,AK,1,100,RD
1707824172.356561,559487.500,21779,2,AK,1,100,20924
1707824174.985877,562038.000,21779,2,AK,1,100,RD
1707824175.002887,562054.500,21782,2,AK,1,100,21780
1707824175.019896,562071.000,21782,2,AK,1,100,RD
1707824177.635811,564608.500,22618,2,AK,1,100,21780
