index,TypeTag,binstart,binend,LocalTimestamp,HR
0,HR,0.0,7.995777014698657,1707823975.075392,75.68160526729035
1,HR,0.990715800319358,8.996500045324272,1707823976.0661077,74.32642500768323
2,HR,1.9914388309449722,9.997223075949885,1707823977.0668309,67.97806066462336
3,HR,2.9921618615705863,10.9979461065755,1707823978.0675538,64.19341488886275
4,HR,3.9928848921962006,11.998669137201114,1707823979.068277,65.57758539740385
5,HR,4.993607922821814,12.999392167826727,1707823980.069,65.081844782847
6,HR,5.994330953447428,13.990107968146086,1707823981.069723,70.74530915185582
7,HR,6.995053984073043,14.990830998771699,1707823982.070446,70.74530915185582
8,HR,7.995777014698657,15.991554029397314,1707823983.0711691,70.74530915185582
9,HR,8.996500045324272,16.99227706002293,1707823984.071892,68.6199135979374
10,HR,9.997223075949885,17.993000090648543,1707823985.0726151,68.61991359793741
11,HR,10.9979461065755,18.993723121274158,1707823986.073338,70.12473626455883
12,HR,11.998669137201114,19.99444615189977,1707823987.0740612,71.5900292611317
13,HR,12.999392167826727,20.995169182525384,1707823988.0747843,72.93996290291703
14,HR,13.990107968146086,21.995892213151,1707823989.0655,72.67472667417915
15,HR,14.990830998771699,22.996615243776613,1707823990.066223,72.8218415055034
16,HR,15.991554029397314,23.997338274402228,1707823991.066946,71.85217650543012
17,HR,16.99227706002293,24.998061305027843,1707823992.0676692,71.94797940743736
18,HR,17.993000090648543,25.998784335653454,1707823993.068392,71.6970397682485
19,HR,18.993723121274158,26.99950736627907,1707823994.0691152,73.6166228589059
20,HR,19.99444615189977,27.990223166598426,1707823995.069838,74.22418783435766
21,HR,20.995169182525384,28.99094619722404,1707823996.0705612,74.84186484823582
22,HR,21.995892213151,29.991669227849655,1707823997.0712843,75.0500480606092
23,HR,22.996615243776613,30.99239225847527,1707823998.0720072,76.2160798807599
24,HR,23.997338274402228,31.993115289100885,1707823999.0727303,74.32642500768323
25,HR,24.998061305027843,32.9938383197265,1707824000.0734534,74.02055494592321
26,HR,25.998784335653454,33.994561350352114,1707824001.0741763,75.51215303047582
27,HR,26.99950736627907,34.99528438097773,1707824002.0748994,71.6970397682485
28,HR,27.990223166598426,35.996007411603344,1707824003.0656152,72.92024939942976
29,HR,28.99094619722404,36.99673044222895,1707824004.0663383,71.37696369785453
30,HR,29.991669227849655,37.997453472854566,1707824005.0670612,71.28267444594191
31,HR,30.99239225847527,38.99817650348018,1707824006.0677843,70.9546148002341
32,HR,31.993115289100885,39.998899534105796,1707824007.0685072,68.75762558050207
33,HR,32.9938383197265,40.99962256473141,1707824008.0692303,67.06560347449418
34,HR,33.994561350352114,41.99033836505077,1707824009.0699534,66.495359895968
35,HR,34.99528438097773,42.99106139567638,1707824010.0706763,66.71115383165264
36,HR,35.996007411603344,43.991784426302,1707824011.0713995,64.05624947243356
37,HR,36.99673044222895,44.99250745692761,1707824012.0721223,67.27253801536921
38,HR,37.997453472854566,45.99323048755323,1707824013.0728455,66.2504414433125
39,HR,38.99817650348018,46.99395351817884,1707824014.0735686,65.8864280287888
40,HR,39.998899534105796,47.994676548804456,1707824015.0742915,66.80406630217026
41,HR,40.99962256473141,48.99539957943007,1707824016.0750146,67.36702191707619
42,HR,41.99033836505077,49.996122610055686,1707824017.0657303,67.74762656067549
43,HR,42.99106139567638,50.99684564068129,1707824018.0664535,68.22947312227346
44,HR,43.991784426302,51.99756867130691,1707824019.0671763,70.35330450531686
45,HR,44.99250745692761,52.99829170193252,1707824020.0678995,69.26955655401544
46,HR,45.99323048755323,53.99901473255814,1707824021.0686226,68.42413638367796
47,HR,46.99395351817884,54.99973776318375,1707824022.0693455,68.32666610392913
48,HR,47.994676548804456,55.99045356350311,1707824023.0700686,68.52188514994035
49,HR,48.99539957943007,56.991176594128724,1707824024.0707915,68.61991359793741
50,HR,49.996122610055686,57.99189962475434,1707824025.0715146,68.816814354316
51,HR,50.99684564068129,58.992622655379954,1707824026.0722377,70.62956093662045
52,HR,51.99756867130691,59.99334568600557,1707824027.0729606,69.62707684590713
53,HR,52.99829170193252,60.99406871663118,1707824028.0736837,69.71703430953234
54,HR,53.99901473255814,61.9947917472568,1707824029.0744066,69.92029096932689
55,HR,54.99973776318375,62.99551477788241,1707824030.0751297,70.02236438680036
56,HR,55.99045356350311,63.99623780850803,1707824031.0658455,70.53723471317389
57,HR,56.991176594128724,64.99696083913364,1707824032.0665686,71.4715027226199
58,HR,57.99189962475434,65.99768386975926,1707824033.0672917,71.4715027226199
59,HR,58.992622655379954,66.99840690038486,1707824034.0680146,71.75662839837503
60,HR,59.99334568600557,67.99912993101049,1707824035.0687377,72.12830015783194
61,HR,60.99406871663118,68.9998529616361,1707824036.0694606,73.91915692544934
62,HR,61.9947917472568,69.99056876195546,1707824037.0701838,72.52820504781992
63,HR,62.99551477788241,70.99129179258107,1707824038.0709069,72.43085175245372
64,HR,63.99623780850803,71.99201482320669,1707824039.0716298,73.11786525146074
65,HR,64.99696083913364,72.9927378538323,1707824040.072353,75.68160526729035
66,HR,65.99768386975926,73.9934608844579,1707824041.0730758,75.4699084693399
67,HR,66.99840690038486,74.99418391508352,1707824042.073799,75.0500480606092
68,HR,67.99912993101049,75.99490694570913,1707824043.074522,75.53593638576102
69,HR,68.9998529616361,76.99562997633475,1707824044.075245,74.53174662372655
70,HR,69.99056876195546,77.99635300696036,1707824045.065961,74.02055494592321
71,HR,70.99129179258107,78.99707603758598,1707824046.0666838,72.8218415055034
72,HR,71.99201482320669,79.99779906821159,1707824047.067407,71.4715027226199
73,HR,72.9927378538323,80.99852209883721,1707824048.0681298,70.12473626455883
74,HR,73.9934608844579,81.99924512946282,1707824049.068853,70.53723471317389
75,HR,74.99418391508352,82.99996816008844,1707824050.069576,72.625820397817
76,HR,75.99490694570913,83.9906839604078,1707824051.070299,71.56629251402921
77,HR,76.99562997633475,84.99140699103341,1707824052.071022,71.28267444594191
78,HR,77.99635300696036,85.99213002165902,1707824053.071745,71.56629251402921
79,HR,78.99707603758598,86.99285305228464,1707824054.072468,71.05973274808629
80,HR,79.99779906821159,87.99357608291025,1707824055.0731912,70.33038065243144
81,HR,80.99852209883721,88.99429911353586,1707824056.073914,69.71703430953234
82,HR,81.99924512946282,89.99502214416148,1707824057.0746372,70.53723471317389
83,HR,82.99996816008844,90.99574517478709,1707824058.07536,69.35859197375068
84,HR,83.9906839604078,91.99646820541271,1707824059.066076,69.31404567190498
85,HR,84.99140699103341,92.99719123603832,1707824060.066799,69.41435543409298
86,HR,85.99213002165902,93.99791426666394,1707824061.067522,69.81851470881841
87,HR,86.99285305228464,94.99863729728955,1707824062.0682452,72.14035368392784
88,HR,87.99357608291025,95.99936032791517,1707824063.068968,71.28267444594191
89,HR,88.99429911353586,96.99007612823452,1707824064.0696912,71.56629251402921
