LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1707823987.610131,380279.000,58346,1,T1,1,100,28.823
1707823987.741056,380406.000,58363,1,T1,1,100,28.817
1707823987.873011,380534.000,58380,1,T1,1,100,28.885
1707823988.005998,380663.000,58397,1,T1,1,100,28.702
1707823988.140015,380793.000,58429,1,T1,1,100,28.658
1707823988.276094,380925.000,58447,1,T1,1,100,28.639
1707823988.408050,381053.000,58466,1,T1,1,100,28.773
1707823988.538974,381180.000,58483,1,T1,1,100,28.831
1707823988.671961,381309.000,58514,1,T1,1,100,28.891
1707823988.807009,381440.000,58531,1,T1,1,100,28.953
1707823988.941026,381570.000,58548,1,T1,1,100,28.838
1707823989.072982,381698.000,58566,2,T1,1,100,28.859
1707823989.204937,381826.000,58566,2,T1,1,100,28.726
1707823989.339470,381956.500,58585,2,T1,1,100,28.740
1707823989.474003,382087.000,58585,2,T1,1,100,28.746
1707823989.606473,382215.500,58603,2,T1,1,100,28.642
1707823989.738944,382344.000,58603,2,T1,1,100,28.703
1707823989.871931,382473.000,58636,1,T1,1,100,28.623
1707823990.005948,382603.000,58652,1,T1,1,100,28.518
1707823990.140996,382734.000,58675,1,T1,1,100,28.543
1707823990.275013,382864.000,58691,1,T1,1,100,28.625
1707823990.406969,382992.000,58708,1,T1,1,100,28.696
1707823990.539955,383121.000,58725,1,T1,1,100,28.656
1707823990.670880,383248.000,58756,1,T1,1,100,28.745
1707823990.803866,383377.000,58773,1,T1,1,100,28.819
1707823990.936853,383506.000,58790,1,T1,1,100,28.886
1707823991.067777,383633.000,58807,1,T1,1,100,28.809
1707823991.199733,383761.000,58841,1,T1,1,100,28.740
1707823991.333750,383891.000,58857,1,T1,1,100,28.675
1707823991.465705,384019.000,58874,1,T1,1,100,28.788
1707823991.598692,384148.000,58891,1,T1,1,100,28.838
1707823991.731678,384277.000,58922,1,T1,1,100,28.717
1707823991.862603,384404.000,58940,1,T1,1,100,28.629
1707823991.995589,384533.000,58958,1,T1,1,100,28.627
1707823992.128576,384662.000,58990,1,T1,1,100,28.626
1707823992.260531,384790.000,59007,1,T1,1,100,28.661
1707823992.394548,384920.000,59023,1,T1,1,100,28.747
1707823992.526504,385048.000,59041,1,T1,1,100,28.713
1707823992.658459,385176.000,59072,1,T1,1,100,28.734
1707823992.791446,385305.000,59090,1,T1,1,100,28.672
1707823992.924432,385434.000,59108,1,T1,1,100,28.681
1707823993.055357,385561.000,59124,1,T1,1,100,28.685
1707823993.188343,385690.000,59158,1,T1,1,100,28.651
1707823993.322360,385820.000,59175,1,T1,1,100,28.707
1707823993.457408,385951.000,59191,1,T1,1,100,28.696
