LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1707824150.115362,537913,17957,1,BI,1,100,840
1707824150.988536,538760,18107,1,BI,1,100,880
1707824151.789547,539537,18222,1,BI,1,100,800
1707824152.606022,540329,18357,1,BI,1,100,800
1707824153.441052,541139,18491,1,BI,1,100,840
1707824154.235878,541910,18613,1,BI,1,100,800
1707824155.069878,542719,18745,1,BI,1,100,840
1707824155.828622,543455,18862,1,BI,1,100,760
1707824156.681178,544282,18996,1,BI,1,100,840
1707824157.521363,545097,19111,1,BI,1,100,840
1707824158.400723,545950,19248,1,BI,1,100,880
1707824159.409976,546929,19389,1,BI,1,100,1000
1707824160.329541,547821,19522,1,BI,1,100,920
1707824161.203746,548669,19658,1,BI,1,100,880
1707824162.086198,549525,19743,1,BI,1,100,880
1707824163.058339,550468,19895,1,BI,1,100,960
1707824163.934606,551318,20030,1,BI,1,100,880
1707824164.733555,552093,20151,1,BI,1,100,800
1707824165.529411,552865,20284,1,BI,1,100,800
1707824166.464439,553772,20434,1,BI,1,100,920
1707824167.224214,554509,20551,1,BI,1,100,760
1707824168.020071,555281,20671,1,BI,1,100,800
1707824168.812835,556050,20804,1,BI,1,100,800
1707824169.691163,556902,20927,1,BI,1,100,880
1707824170.503514,557690,21060,1,BI,1,100,800
1707824171.302463,558465,21193,1,BI,1,100,800
1707824172.139556,559277,21327,1,BI,1,100,840
1707824172.983865,560096,21461,1,BI,1,100,840
1707824173.872502,560958,21594,1,BI,1,100,880
1707824174.675575,561737,21727,1,BI,1,100,800
1707824175.512668,562549,21866,1,BI,1,100,840
1707824176.355946,563367,21998,1,BI,1,100,840
1707824177.241491,564226,22148,1,BI,1,100,880
1707824178.077552,565037,22282,1,BI,1,100,840
1707824179.032168,565963,22432,1,BI,1,100,960
1707824179.917713,566822,22566,1,BI,1,100,880
1707824180.725940,567606,22703,1,BI,1,100,800
1707824181.485715,568343,22822,1,BI,1,100,760
1707824182.244459,569079,22937,1,BI,1,100,760
1707824183.080520,569890,23072,1,BI,1,100,840
1707824183.888748,570674,23206,1,BI,1,100,800
1707824184.690790,571452,23338,1,BI,1,100,800
1707824185.487677,572225,23456,1,BI,1,100,800
1707824186.368067,573079,23610,1,BI,1,100,880
1707824187.260829,573945,23743,1,BI,1,100,880
1707824188.172146,574829,23895,1,BI,1,100,920
1707824189.051506,575682,24043,1,BI,1,100,880
1707824189.934989,576539,24176,1,BI,1,100,880
1707824190.866924,577443,24299,1,BI,1,100,920
1707824191.699893,578251,24434,1,BI,1,100,840
1707824192.533893,579060,24567,1,BI,1,100,840
1707824193.292637,579796,24670,1,BI,1,100,760
1707824194.179213,580656,24805,1,BI,1,100,880
1707824194.978162,581431,24938,1,BI,1,100,800
1707824195.813193,582241,25026,1,BI,1,100,840
1707824196.579153,582984,25115,1,BI,1,100,760
1707824197.461605,583840,25265,1,BI,1,100,880
1707824198.262616,584617,25384,1,BI,1,100,800
1707824199.062597,585393,25516,1,BI,1,100,800
1707824199.860515,586167,25649,1,BI,1,100,800
1707824200.698638,586980,25781,1,BI,1,100,840
1707824201.512020,587769,25905,1,BI,1,100,800
1707824202.306846,588540,26037,1,BI,1,100,800
1707824203.066621,589277,26156,1,BI,1,100,760
1707824203.863508,590050,26289,1,BI,1,100,800
1707824204.638746,590802,26407,1,BI,1,100,760
1707824205.633567,591767,26572,1,BI,1,100,1000
1707824206.547977,592654,26722,1,BI,1,100,920
1707824209.433472,595453,27174,1,BI,1,100,2880
1707824210.876735,596853,27388,1,BI,1,100,1440
1707824211.521049,597478,27506,1,BI,1,100,640
1707824212.203506,598140,27594,1,BI,1,100,680
1707824212.925138,598840,27719,1,BI,1,100,720
1707824213.683882,599576,27854,1,BI,1,100,760
1707824214.445719,600315,27972,1,BI,1,100,760
1707824215.251884,601097,28104,1,BI,1,100,800
1707824216.049802,601871,28220,1,BI,1,100,800
1707824216.921946,602717,28371,1,BI,1,100,880
1707824217.802336,603571,28497,1,BI,1,100,880
1707824218.651799,604395,28629,1,BI,1,100,840
1707824219.491985,605210,28762,1,BI,1,100,840
