32250,2389,1,RB,1,100,2024-02-13_11-27-08-293605
32255,2390,4,EM,1,100,RS,RB,2024-02-13_11-27-08-293605.csv,PS,MN
32257,2391,1,BV,1,100,3.54
32257,2392,1,B%,1,100, 1
32200,2393,1,BI,1,100,840
32200,2394,1,HR,1,100,74
32348,2395,1,SF,1,100,0.0000
32360,2396,5,PI,1,100,172542,172579,172626,172682,172728
32360,2397,5,PR,1,100,161397,161409,161429,161449,161452
32360,2398,5,PG,1,100,11353,11369,11384,11405,11414
32348,2399,2,EA,1,100,4.068928,4.059348
32348,2400,2,EL,1,100,-19185.000000,-19184.199219
32341,2401,1,T1,1,100,22.132
32354,2402,1,TH,1,100,23.776
32348,2403,9,AX,1,100,-0.681,-0.687,-0.683,-0.682,-0.683,-0.687,-0.682,-0.683,-0.683
32348,2404,9,AY,1,100,0.541,0.536,0.538,0.540,0.538,0.534,0.539,0.541,0.536
32348,2405,9,AZ,1,100,0.488,0.489,0.482,0.489,0.485,0.487,0.487,0.487,0.489
32348,2406,9,GX,1,100,-0.366,-0.397,-0.275,-0.458,-0.397,-0.336,-0.305,-0.458,-0.336
32348,2407,9,GY,1,100,-0.183,-0.122,-0.122,-0.275,-0.214,-0.092,-0.244,-0.305,-0.122
32348,2408,9,GZ,1,100,-0.305,-0.641,-0.580,0.000,-0.397,-0.732,-0.214,0.122,-0.702
32348,2409,9,MX,1,100,37,37,37,38,38,38,38,38,37
32348,2410,9,MY,1,100,-27,-26,-26,-28,-27,-26,-27,-27,-26
32348,2411,9,MZ,1,100,-2,-3,-3,-2,-4,-3,-3,-4,-3
32456,2412,4,EM,1,100,RS,RB,2024-02-13_11-27-08-293605.csv,PS,MN
32440,2413,2,PI,1,100,172776,172725
32440,2414,2,PR,1,100,161469,161439
32440,2415,2,PG,1,100,11429,11435
32413,2416,1,EA,1,100,4.056976
32413,2417,1,EL,1,100,-19184.000000
32427,2418,2,AX,1,100,-0.691,-0.683
32427,2419,2,AY,1,100,0.533,0.539
32427,2420,2,AZ,1,100,0.484,0.489
32427,2421,2,GX,1,100,0.000,-0.183
32427,2422,2,GY,1,100,-0.305,-0.519
32427,2423,2,GZ,1,100,-0.702,0.061
32427,2424,2,MX,1,100,38,38
32427,2425,2,MY,1,100,-26,-26
